"scenario","year","variable","value","units","version"
"ssp119 conc",1750,"CO2_concentration",277.309984398036,"ppmv CO2",3.0.0
"ssp119 conc",1751,"CO2_concentration",277.336343782739,"ppmv CO2",3.0.0
"ssp119 conc",1752,"CO2_concentration",277.363301176378,"ppmv CO2",3.0.0
"ssp119 conc",1753,"CO2_concentration",277.390981980565,"ppmv CO2",3.0.0
"ssp119 conc",1754,"CO2_concentration",277.41850476281,"ppmv CO2",3.0.0
"ssp119 conc",1755,"CO2_concentration",277.444956072444,"ppmv CO2",3.0.0
"ssp119 conc",1756,"CO2_concentration",277.468330326236,"ppmv CO2",3.0.0
"ssp119 conc",1757,"CO2_concentration",277.458889072883,"ppmv CO2",3.0.0
"ssp119 conc",1758,"CO2_concentration",277.456451306531,"ppmv CO2",3.0.0
"ssp119 conc",1759,"CO2_concentration",277.46824707935,"ppmv CO2",3.0.0
"ssp119 conc",1760,"CO2_concentration",277.489180760601,"ppmv CO2",3.0.0
"ssp119 conc",1761,"CO2_concentration",277.514279682029,"ppmv CO2",3.0.0
"ssp119 conc",1762,"CO2_concentration",277.542092120474,"ppmv CO2",3.0.0
"ssp119 conc",1763,"CO2_concentration",277.442537908003,"ppmv CO2",3.0.0
"ssp119 conc",1764,"CO2_concentration",277.342031551668,"ppmv CO2",3.0.0
"ssp119 conc",1765,"CO2_concentration",277.301018697755,"ppmv CO2",3.0.0
"ssp119 conc",1766,"CO2_concentration",277.301568494561,"ppmv CO2",3.0.0
"ssp119 conc",1767,"CO2_concentration",277.278453222887,"ppmv CO2",3.0.0
"ssp119 conc",1768,"CO2_concentration",277.241676510142,"ppmv CO2",3.0.0
"ssp119 conc",1769,"CO2_concentration",277.236569462786,"ppmv CO2",3.0.0
"ssp119 conc",1770,"CO2_concentration",277.258401598707,"ppmv CO2",3.0.0
"ssp119 conc",1771,"CO2_concentration",277.276515444331,"ppmv CO2",3.0.0
"ssp119 conc",1772,"CO2_concentration",277.302862960116,"ppmv CO2",3.0.0
"ssp119 conc",1773,"CO2_concentration",277.341377826518,"ppmv CO2",3.0.0
"ssp119 conc",1774,"CO2_concentration",277.386922967506,"ppmv CO2",3.0.0
"ssp119 conc",1775,"CO2_concentration",277.434004945995,"ppmv CO2",3.0.0
"ssp119 conc",1776,"CO2_concentration",277.482653494427,"ppmv CO2",3.0.0
"ssp119 conc",1777,"CO2_concentration",277.532133862594,"ppmv CO2",3.0.0
"ssp119 conc",1778,"CO2_concentration",277.580909043269,"ppmv CO2",3.0.0
"ssp119 conc",1779,"CO2_concentration",277.628572295713,"ppmv CO2",3.0.0
"ssp119 conc",1780,"CO2_concentration",277.676113222588,"ppmv CO2",3.0.0
"ssp119 conc",1781,"CO2_concentration",277.722182268219,"ppmv CO2",3.0.0
"ssp119 conc",1782,"CO2_concentration",277.768437491726,"ppmv CO2",3.0.0
"ssp119 conc",1783,"CO2_concentration",277.814470059688,"ppmv CO2",3.0.0
"ssp119 conc",1784,"CO2_concentration",277.60714349313,"ppmv CO2",3.0.0
"ssp119 conc",1785,"CO2_concentration",277.061410303945,"ppmv CO2",3.0.0
"ssp119 conc",1786,"CO2_concentration",276.697688694802,"ppmv CO2",3.0.0
"ssp119 conc",1787,"CO2_concentration",276.527558713394,"ppmv CO2",3.0.0
"ssp119 conc",1788,"CO2_concentration",276.493064592632,"ppmv CO2",3.0.0
"ssp119 conc",1789,"CO2_concentration",276.53726063388,"ppmv CO2",3.0.0
"ssp119 conc",1790,"CO2_concentration",276.621278381382,"ppmv CO2",3.0.0
"ssp119 conc",1791,"CO2_concentration",276.72223656533,"ppmv CO2",3.0.0
"ssp119 conc",1792,"CO2_concentration",276.830414535896,"ppmv CO2",3.0.0
"ssp119 conc",1793,"CO2_concentration",276.940575359119,"ppmv CO2",3.0.0
"ssp119 conc",1794,"CO2_concentration",277.049993529665,"ppmv CO2",3.0.0
"ssp119 conc",1795,"CO2_concentration",277.156212414623,"ppmv CO2",3.0.0
"ssp119 conc",1796,"CO2_concentration",277.261077031228,"ppmv CO2",3.0.0
"ssp119 conc",1797,"CO2_concentration",277.347714868794,"ppmv CO2",3.0.0
"ssp119 conc",1798,"CO2_concentration",277.412598571957,"ppmv CO2",3.0.0
"ssp119 conc",1799,"CO2_concentration",277.482405983902,"ppmv CO2",3.0.0
"ssp119 conc",1800,"CO2_concentration",277.566610388517,"ppmv CO2",3.0.0
"ssp119 conc",1801,"CO2_concentration",277.660252634123,"ppmv CO2",3.0.0
"ssp119 conc",1802,"CO2_concentration",277.759074283762,"ppmv CO2",3.0.0
"ssp119 conc",1803,"CO2_concentration",277.860726428624,"ppmv CO2",3.0.0
"ssp119 conc",1804,"CO2_concentration",277.962631288373,"ppmv CO2",3.0.0
"ssp119 conc",1805,"CO2_concentration",278.065460415788,"ppmv CO2",3.0.0
"ssp119 conc",1806,"CO2_concentration",278.167672817395,"ppmv CO2",3.0.0
"ssp119 conc",1807,"CO2_concentration",278.267007837673,"ppmv CO2",3.0.0
"ssp119 conc",1808,"CO2_concentration",278.364148248169,"ppmv CO2",3.0.0
"ssp119 conc",1809,"CO2_concentration",278.457385681362,"ppmv CO2",3.0.0
"ssp119 conc",1810,"CO2_concentration",278.053742104541,"ppmv CO2",3.0.0
"ssp119 conc",1811,"CO2_concentration",277.644779062506,"ppmv CO2",3.0.0
"ssp119 conc",1812,"CO2_concentration",277.438393729023,"ppmv CO2",3.0.0
"ssp119 conc",1813,"CO2_concentration",277.409299511204,"ppmv CO2",3.0.0
"ssp119 conc",1814,"CO2_concentration",277.484903511013,"ppmv CO2",3.0.0
"ssp119 conc",1815,"CO2_concentration",277.612414307039,"ppmv CO2",3.0.0
"ssp119 conc",1816,"CO2_concentration",277.314780421839,"ppmv CO2",3.0.0
"ssp119 conc",1817,"CO2_concentration",276.716299620251,"ppmv CO2",3.0.0
"ssp119 conc",1818,"CO2_concentration",276.36326168769,"ppmv CO2",3.0.0
"ssp119 conc",1819,"CO2_concentration",276.28951947171,"ppmv CO2",3.0.0
"ssp119 conc",1820,"CO2_concentration",276.39043418246,"ppmv CO2",3.0.0
"ssp119 conc",1821,"CO2_concentration",276.580251393349,"ppmv CO2",3.0.0
"ssp119 conc",1822,"CO2_concentration",276.797746937308,"ppmv CO2",3.0.0
"ssp119 conc",1823,"CO2_concentration",277.024988415516,"ppmv CO2",3.0.0
"ssp119 conc",1824,"CO2_concentration",277.212237589035,"ppmv CO2",3.0.0
"ssp119 conc",1825,"CO2_concentration",277.412670994797,"ppmv CO2",3.0.0
"ssp119 conc",1826,"CO2_concentration",277.637652284815,"ppmv CO2",3.0.0
"ssp119 conc",1827,"CO2_concentration",277.879539249394,"ppmv CO2",3.0.0
"ssp119 conc",1828,"CO2_concentration",278.129898564464,"ppmv CO2",3.0.0
"ssp119 conc",1829,"CO2_concentration",278.381842222967,"ppmv CO2",3.0.0
"ssp119 conc",1830,"CO2_concentration",278.634345818318,"ppmv CO2",3.0.0
"ssp119 conc",1831,"CO2_concentration",278.889004531837,"ppmv CO2",3.0.0
"ssp119 conc",1832,"CO2_concentration",278.830274767716,"ppmv CO2",3.0.0
"ssp119 conc",1833,"CO2_concentration",278.734253639018,"ppmv CO2",3.0.0
"ssp119 conc",1834,"CO2_concentration",278.778141328761,"ppmv CO2",3.0.0
"ssp119 conc",1835,"CO2_concentration",278.941212126714,"ppmv CO2",3.0.0
"ssp119 conc",1836,"CO2_concentration",278.945780329332,"ppmv CO2",3.0.0
"ssp119 conc",1837,"CO2_concentration",278.958408117994,"ppmv CO2",3.0.0
"ssp119 conc",1838,"CO2_concentration",279.08825988551,"ppmv CO2",3.0.0
"ssp119 conc",1839,"CO2_concentration",279.31172040996,"ppmv CO2",3.0.0
"ssp119 conc",1840,"CO2_concentration",279.587782965889,"ppmv CO2",3.0.0
"ssp119 conc",1841,"CO2_concentration",279.889099511929,"ppmv CO2",3.0.0
"ssp119 conc",1842,"CO2_concentration",280.200475061725,"ppmv CO2",3.0.0
"ssp119 conc",1843,"CO2_concentration",280.515749424194,"ppmv CO2",3.0.0
"ssp119 conc",1844,"CO2_concentration",280.832228891908,"ppmv CO2",3.0.0
"ssp119 conc",1845,"CO2_concentration",281.149374598011,"ppmv CO2",3.0.0
"ssp119 conc",1846,"CO2_concentration",281.466002781499,"ppmv CO2",3.0.0
"ssp119 conc",1847,"CO2_concentration",281.758010002855,"ppmv CO2",3.0.0
"ssp119 conc",1848,"CO2_concentration",282.047120684009,"ppmv CO2",3.0.0
"ssp119 conc",1849,"CO2_concentration",282.344574786404,"ppmv CO2",3.0.0
"ssp119 conc",1850,"CO2_concentration",282.651473472864,"ppmv CO2",3.0.0
"ssp119 conc",1851,"CO2_concentration",282.96432085251,"ppmv CO2",3.0.0
"ssp119 conc",1852,"CO2_concentration",283.273333462808,"ppmv CO2",3.0.0
"ssp119 conc",1853,"CO2_concentration",283.606336218442,"ppmv CO2",3.0.0
"ssp119 conc",1854,"CO2_concentration",283.903072472375,"ppmv CO2",3.0.0
"ssp119 conc",1855,"CO2_concentration",284.176827137648,"ppmv CO2",3.0.0
"ssp119 conc",1856,"CO2_concentration",284.452073181175,"ppmv CO2",3.0.0
"ssp119 conc",1857,"CO2_concentration",284.730023424616,"ppmv CO2",3.0.0
"ssp119 conc",1858,"CO2_concentration",284.981168926561,"ppmv CO2",3.0.0
"ssp119 conc",1859,"CO2_concentration",285.235137825805,"ppmv CO2",3.0.0
"ssp119 conc",1860,"CO2_concentration",285.500238641529,"ppmv CO2",3.0.0
"ssp119 conc",1861,"CO2_concentration",285.770846017289,"ppmv CO2",3.0.0
"ssp119 conc",1862,"CO2_concentration",286.035488133448,"ppmv CO2",3.0.0
"ssp119 conc",1863,"CO2_concentration",286.163539870336,"ppmv CO2",3.0.0
"ssp119 conc",1864,"CO2_concentration",286.297192814685,"ppmv CO2",3.0.0
"ssp119 conc",1865,"CO2_concentration",286.478106802752,"ppmv CO2",3.0.0
"ssp119 conc",1866,"CO2_concentration",286.690395294588,"ppmv CO2",3.0.0
"ssp119 conc",1867,"CO2_concentration",286.916613552042,"ppmv CO2",3.0.0
"ssp119 conc",1868,"CO2_concentration",287.146781641888,"ppmv CO2",3.0.0
"ssp119 conc",1869,"CO2_concentration",287.373229334863,"ppmv CO2",3.0.0
"ssp119 conc",1870,"CO2_concentration",287.597763247987,"ppmv CO2",3.0.0
"ssp119 conc",1871,"CO2_concentration",287.817011656653,"ppmv CO2",3.0.0
"ssp119 conc",1872,"CO2_concentration",288.044322871323,"ppmv CO2",3.0.0
"ssp119 conc",1873,"CO2_concentration",288.314840081464,"ppmv CO2",3.0.0
"ssp119 conc",1874,"CO2_concentration",288.547233522121,"ppmv CO2",3.0.0
"ssp119 conc",1875,"CO2_concentration",288.772711786464,"ppmv CO2",3.0.0
"ssp119 conc",1876,"CO2_concentration",289.00241576614,"ppmv CO2",3.0.0
