"scenario","year","variable","value","units","version"
"ssp119",1750,"CO2_concentration",277.147003173828,"ppmv CO2",3.1.1
"ssp119",1751,"CO2_concentration",277.188000996908,"ppmv CO2",3.1.1
"ssp119",1752,"CO2_concentration",277.229001363118,"ppmv CO2",3.1.1
"ssp119",1753,"CO2_concentration",277.263000488281,"ppmv CO2",3.1.1
"ssp119",1754,"CO2_concentration",277.304003397624,"ppmv CO2",3.1.1
"ssp119",1755,"CO2_concentration",277.351003011068,"ppmv CO2",3.1.1
"ssp119",1756,"CO2_concentration",277.388999938965,"ppmv CO2",3.1.1
"ssp119",1757,"CO2_concentration",277.441998799642,"ppmv CO2",3.1.1
"ssp119",1758,"CO2_concentration",277.489000956217,"ppmv CO2",3.1.1
"ssp119",1759,"CO2_concentration",277.539998372396,"ppmv CO2",3.1.1
"ssp119",1760,"CO2_concentration",277.605003356934,"ppmv CO2",3.1.1
"ssp119",1761,"CO2_concentration",277.663998921712,"ppmv CO2",3.1.1
"ssp119",1762,"CO2_concentration",277.732002258301,"ppmv CO2",3.1.1
"ssp119",1763,"CO2_concentration",277.795997619629,"ppmv CO2",3.1.1
"ssp119",1764,"CO2_concentration",277.8590037028,"ppmv CO2",3.1.1
"ssp119",1765,"CO2_concentration",277.912999471029,"ppmv CO2",3.1.1
"ssp119",1766,"CO2_concentration",277.958000183105,"ppmv CO2",3.1.1
"ssp119",1767,"CO2_concentration",278.016998291016,"ppmv CO2",3.1.1
"ssp119",1768,"CO2_concentration",278.077995300293,"ppmv CO2",3.1.1
"ssp119",1769,"CO2_concentration",278.135004679362,"ppmv CO2",3.1.1
"ssp119",1770,"CO2_concentration",278.193997701009,"ppmv CO2",3.1.1
"ssp119",1771,"CO2_concentration",278.270001729329,"ppmv CO2",3.1.1
"ssp119",1772,"CO2_concentration",278.333999633789,"ppmv CO2",3.1.1
"ssp119",1773,"CO2_concentration",278.411994934082,"ppmv CO2",3.1.1
"ssp119",1774,"CO2_concentration",278.490999857585,"ppmv CO2",3.1.1
"ssp119",1775,"CO2_concentration",278.586003621419,"ppmv CO2",3.1.1
"ssp119",1776,"CO2_concentration",278.682998657227,"ppmv CO2",3.1.1
"ssp119",1777,"CO2_concentration",278.773996988932,"ppmv CO2",3.1.1
"ssp119",1778,"CO2_concentration",278.865999857585,"ppmv CO2",3.1.1
"ssp119",1779,"CO2_concentration",278.959002176921,"ppmv CO2",3.1.1
"ssp119",1780,"CO2_concentration",279.054003397624,"ppmv CO2",3.1.1
"ssp119",1781,"CO2_concentration",279.144999186198,"ppmv CO2",3.1.1
"ssp119",1782,"CO2_concentration",279.243001302083,"ppmv CO2",3.1.1
"ssp119",1783,"CO2_concentration",279.339998881022,"ppmv CO2",3.1.1
"ssp119",1784,"CO2_concentration",279.434000651042,"ppmv CO2",3.1.1
"ssp119",1785,"CO2_concentration",279.532002766927,"ppmv CO2",3.1.1
"ssp119",1786,"CO2_concentration",279.629000345866,"ppmv CO2",3.1.1
"ssp119",1787,"CO2_concentration",279.729001363118,"ppmv CO2",3.1.1
"ssp119",1788,"CO2_concentration",279.830998738607,"ppmv CO2",3.1.1
"ssp119",1789,"CO2_concentration",279.932998657227,"ppmv CO2",3.1.1
"ssp119",1790,"CO2_concentration",280.037002563477,"ppmv CO2",3.1.1
"ssp119",1791,"CO2_concentration",280.140998840332,"ppmv CO2",3.1.1
"ssp119",1792,"CO2_concentration",280.240997314453,"ppmv CO2",3.1.1
"ssp119",1793,"CO2_concentration",280.33199818929,"ppmv CO2",3.1.1
"ssp119",1794,"CO2_concentration",280.415000915527,"ppmv CO2",3.1.1
"ssp119",1795,"CO2_concentration",280.491996765137,"ppmv CO2",3.1.1
