"scenario","year","variable","value","units","version"
"ssp119",1750,"CO2_concentration",277.309984398036,"ppmv CO2",3.0.1
"ssp119",1751,"CO2_concentration",277.336343782739,"ppmv CO2",3.0.1
"ssp119",1752,"CO2_concentration",277.363301176378,"ppmv CO2",3.0.1
"ssp119",1753,"CO2_concentration",277.390981980565,"ppmv CO2",3.0.1
"ssp119",1754,"CO2_concentration",277.41850476281,"ppmv CO2",3.0.1
"ssp119",1755,"CO2_concentration",277.444956072444,"ppmv CO2",3.0.1
"ssp119",1756,"CO2_concentration",277.468330326236,"ppmv CO2",3.0.1
"ssp119",1757,"CO2_concentration",277.458889072883,"ppmv CO2",3.0.1
"ssp119",1758,"CO2_concentration",277.456451306531,"ppmv CO2",3.0.1
"ssp119",1759,"CO2_concentration",277.46824707935,"ppmv CO2",3.0.1
"ssp119",1760,"CO2_concentration",277.489180760601,"ppmv CO2",3.0.1
"ssp119",1761,"CO2_concentration",277.514279682029,"ppmv CO2",3.0.1
"ssp119",1762,"CO2_concentration",277.542092120474,"ppmv CO2",3.0.1
"ssp119",1763,"CO2_concentration",277.442537908003,"ppmv CO2",3.0.1
"ssp119",1764,"CO2_concentration",277.342031551668,"ppmv CO2",3.0.1
"ssp119",1765,"CO2_concentration",277.301018697755,"ppmv CO2",3.0.1
"ssp119",1766,"CO2_concentration",277.301568494561,"ppmv CO2",3.0.1
"ssp119",1767,"CO2_concentration",277.278453222887,"ppmv CO2",3.0.1
"ssp119",1768,"CO2_concentration",277.241676510142,"ppmv CO2",3.0.1
"ssp119",1769,"CO2_concentration",277.236569462786,"ppmv CO2",3.0.1
"ssp119",1770,"CO2_concentration",277.258401598707,"ppmv CO2",3.0.1
"ssp119",1771,"CO2_concentration",277.276515444331,"ppmv CO2",3.0.1
"ssp119",1772,"CO2_concentration",277.302862960116,"ppmv CO2",3.0.1
"ssp119",1773,"CO2_concentration",277.341377826518,"ppmv CO2",3.0.1
"ssp119",1774,"CO2_concentration",277.386922967506,"ppmv CO2",3.0.1
"ssp119",1775,"CO2_concentration",277.434004945995,"ppmv CO2",3.0.1
"ssp119",1776,"CO2_concentration",277.482653494427,"ppmv CO2",3.0.1
"ssp119",1777,"CO2_concentration",277.532133862594,"ppmv CO2",3.0.1
"ssp119",1778,"CO2_concentration",277.580909043269,"ppmv CO2",3.0.1
"ssp119",1779,"CO2_concentration",277.628572295713,"ppmv CO2",3.0.1
"ssp119",1780,"CO2_concentration",277.676113222588,"ppmv CO2",3.0.1
"ssp119",1781,"CO2_concentration",277.722182268219,"ppmv CO2",3.0.1
"ssp119",1782,"CO2_concentration",277.768437491726,"ppmv CO2",3.0.1
"ssp119",1783,"CO2_concentration",277.814470059688,"ppmv CO2",3.0.1
"ssp119",1784,"CO2_concentration",277.60714349313,"ppmv CO2",3.0.1
"ssp119",1785,"CO2_concentration",277.061410303945,"ppmv CO2",3.0.1
"ssp119",1786,"CO2_concentration",276.697688694802,"ppmv CO2",3.0.1
"ssp119",1787,"CO2_concentration",276.527558713394,"ppmv CO2",3.0.1
"ssp119",1788,"CO2_concentration",276.493064592632,"ppmv CO2",3.0.1
"ssp119",1789,"CO2_concentration",276.53726063388,"ppmv CO2",3.0.1
"ssp119",1790,"CO2_concentration",276.621278381382,"ppmv CO2",3.0.1
"ssp119",1791,"CO2_concentration",276.72223656533,"ppmv CO2",3.0.1
"ssp119",1792,"CO2_concentration",276.830414535896,"ppmv CO2",3.0.1
"ssp119",1793,"CO2_concentration",276.940575359119,"ppmv CO2",3.0.1
"ssp119",1794,"CO2_concentration",277.049993529665,"ppmv CO2",3.0.1
"ssp119",1795,"CO2_concentration",277.156212414623,"ppmv CO2",3.0.1
"ssp119",1796,"CO2_concentration",277.261077031228,"ppmv CO2",3.0.1
"ssp119",1797,"CO2_concentration",277.347714868794,"ppmv CO2",3.0.1
"ssp119",1798,"CO2_concentration",277.412598571957,"ppmv CO2",3.0.1
"ssp119",1799,"CO2_concentration",277.482405983902,"ppmv CO2",3.0.1
"ssp119",1800,"CO2_concentration",277.566610388517,"ppmv CO2",3.0.1
"ssp119",1801,"CO2_concentration",277.660252634123,"ppmv CO2",3.0.1
"ssp119",1802,"CO2_concentration",277.759074283762,"ppmv CO2",3.0.1
"ssp119",1803,"CO2_concentration",277.860726428624,"ppmv CO2",3.0.1
"ssp119",1804,"CO2_concentration",277.962631288373,"ppmv CO2",3.0.1
"ssp119",1805,"CO2_concentration",278.065460415788,"ppmv CO2",3.0.1
"ssp119",1806,"CO2_concentration",278.167672817395,"ppmv CO2",3.0.1
"ssp119",1807,"CO2_concentration",278.267007837673,"ppmv CO2",3.0.1
"ssp119",1808,"CO2_concentration",278.364148248169,"ppmv CO2",3.0.1
"ssp119",1809,"CO2_concentration",278.457385681362,"ppmv CO2",3.0.1
"ssp119",1810,"CO2_concentration",278.053742104541,"ppmv CO2",3.0.1
"ssp119",1811,"CO2_concentration",277.644779062506,"ppmv CO2",3.0.1
"ssp119",1812,"CO2_concentration",277.438393729023,"ppmv CO2",3.0.1
"ssp119",1813,"CO2_concentration",277.409299511204,"ppmv CO2",3.0.1
"ssp119",1814,"CO2_concentration",277.484903511013,"ppmv CO2",3.0.1
"ssp119",1815,"CO2_concentration",277.612414307039,"ppmv CO2",3.0.1
"ssp119",1816,"CO2_concentration",277.314780421839,"ppmv CO2",3.0.1
"ssp119",1817,"CO2_concentration",276.716299620251,"ppmv CO2",3.0.1
