"scenario","year","variable","value","units","version"
"rcp26",1750,"CO2_concentration",286.708895840937,"ppmv CO2",2.3.0
"rcp26",1751,"CO2_concentration",286.496478072292,"ppmv CO2",2.3.0
"rcp26",1752,"CO2_concentration",286.295532809782,"ppmv CO2",2.3.0
"rcp26",1753,"CO2_concentration",286.10531041984,"ppmv CO2",2.3.0
"rcp26",1754,"CO2_concentration",285.92424792246,"ppmv CO2",2.3.0
"rcp26",1755,"CO2_concentration",285.751290134986,"ppmv CO2",2.3.0
"rcp26",1756,"CO2_concentration",285.586413140186,"ppmv CO2",2.3.0
"rcp26",1757,"CO2_concentration",285.429871685783,"ppmv CO2",2.3.0
"rcp26",1758,"CO2_concentration",285.281375017619,"ppmv CO2",2.3.0
"rcp26",1759,"CO2_concentration",285.140187274412,"ppmv CO2",2.3.0
"rcp26",1760,"CO2_concentration",285.005752669344,"ppmv CO2",2.3.0
"rcp26",1761,"CO2_concentration",284.877931506714,"ppmv CO2",2.3.0
"rcp26",1762,"CO2_concentration",284.756676468704,"ppmv CO2",2.3.0
"rcp26",1763,"CO2_concentration",284.641707719749,"ppmv CO2",2.3.0
"rcp26",1764,"CO2_concentration",284.532580825638,"ppmv CO2",2.3.0
"rcp26",1765,"CO2_concentration",284.428948690372,"ppmv CO2",2.3.0
"rcp26",1766,"CO2_concentration",284.330642108976,"ppmv CO2",2.3.0
"rcp26",1767,"CO2_concentration",284.23874940735,"ppmv CO2",2.3.0
"rcp26",1768,"CO2_concentration",284.166434128158,"ppmv CO2",2.3.0
"rcp26",1769,"CO2_concentration",284.118120769598,"ppmv CO2",2.3.0
"rcp26",1770,"CO2_concentration",284.077933069908,"ppmv CO2",2.3.0
"rcp26",1771,"CO2_concentration",284.035620856172,"ppmv CO2",2.3.0
"rcp26",1772,"CO2_concentration",283.99538369989,"ppmv CO2",2.3.0
"rcp26",1773,"CO2_concentration",283.965518945577,"ppmv CO2",2.3.0
"rcp26",1774,"CO2_concentration",283.946438732183,"ppmv CO2",2.3.0
"rcp26",1775,"CO2_concentration",283.935069469431,"ppmv CO2",2.3.0
"rcp26",1776,"CO2_concentration",283.929343635398,"ppmv CO2",2.3.0
"rcp26",1777,"CO2_concentration",283.928431118889,"ppmv CO2",2.3.0
"rcp26",1778,"CO2_concentration",283.93181590994,"ppmv CO2",2.3.0
"rcp26",1779,"CO2_concentration",283.939023090045,"ppmv CO2",2.3.0
"rcp26",1780,"CO2_concentration",283.949766276206,"ppmv CO2",2.3.0
"rcp26",1781,"CO2_concentration",283.964010227284,"ppmv CO2",2.3.0
"rcp26",1782,"CO2_concentration",283.981973248571,"ppmv CO2",2.3.0
"rcp26",1783,"CO2_concentration",284.003452016293,"ppmv CO2",2.3.0
"rcp26",1784,"CO2_concentration",284.025616666363,"ppmv CO2",2.3.0
"rcp26",1785,"CO2_concentration",284.039934162047,"ppmv CO2",2.3.0
"rcp26",1786,"CO2_concentration",284.045104036381,"ppmv CO2",2.3.0
"rcp26",1787,"CO2_concentration",284.05538600109,"ppmv CO2",2.3.0
"rcp26",1788,"CO2_concentration",284.079706129164,"ppmv CO2",2.3.0
"rcp26",1789,"CO2_concentration",284.114378044663,"ppmv CO2",2.3.0
"rcp26",1790,"CO2_concentration",284.153779396758,"ppmv CO2",2.3.0
"rcp26",1791,"CO2_concentration",284.184538341795,"ppmv CO2",2.3.0
"rcp26",1792,"CO2_concentration",284.19733469803,"ppmv CO2",2.3.0
"rcp26",1793,"CO2_concentration",284.208949986921,"ppmv CO2",2.3.0
"rcp26",1794,"CO2_concentration",284.236878868224,"ppmv CO2",2.3.0
"rcp26",1795,"CO2_concentration",284.279423266877,"ppmv CO2",2.3.0
"rcp26",1796,"CO2_concentration",284.328236471784,"ppmv CO2",2.3.0
