"scenario","year","variable","value","units","version"
"ssp119",1750,"CO2_concentration",277.310098650968,"ppmv CO2",3.1.1
"ssp119",1751,"CO2_concentration",277.336504025949,"ppmv CO2",3.1.1
"ssp119",1752,"CO2_concentration",277.363509900657,"ppmv CO2",3.1.1
"ssp119",1753,"CO2_concentration",277.39124201222,"ppmv CO2",3.1.1
"ssp119",1754,"CO2_concentration",277.418820826244,"ppmv CO2",3.1.1
"ssp119",1755,"CO2_concentration",277.445334099846,"ppmv CO2",3.1.1
"ssp119",1756,"CO2_concentration",277.468779656794,"ppmv CO2",3.1.1
"ssp119",1757,"CO2_concentration",277.459481989553,"ppmv CO2",3.1.1
"ssp119",1758,"CO2_concentration",277.457149961939,"ppmv CO2",3.1.1
"ssp119",1759,"CO2_concentration",277.469021227942,"ppmv CO2",3.1.1
"ssp119",1760,"CO2_concentration",277.490018640637,"ppmv CO2",3.1.1
"ssp119",1761,"CO2_concentration",277.515179137962,"ppmv CO2",3.1.1
"ssp119",1762,"CO2_concentration",277.543052098592,"ppmv CO2",3.1.1
"ssp119",1763,"CO2_concentration",277.443837877526,"ppmv CO2",3.1.1
"ssp119",1764,"CO2_concentration",277.343580665,"ppmv CO2",3.1.1
"ssp119",1765,"CO2_concentration",277.302664375863,"ppmv CO2",3.1.1
"ssp119",1766,"CO2_concentration",277.303244160082,"ppmv CO2",3.1.1
"ssp119",1767,"CO2_concentration",277.280232450485,"ppmv CO2",3.1.1
"ssp119",1768,"CO2_concentration",277.243569082396,"ppmv CO2",3.1.1
"ssp119",1769,"CO2_concentration",277.23848972164,"ppmv CO2",3.1.1
"ssp119",1770,"CO2_concentration",277.260306137629,"ppmv CO2",3.1.1
"ssp119",1771,"CO2_concentration",277.278430933351,"ppmv CO2",3.1.1
"ssp119",1772,"CO2_concentration",277.304772879325,"ppmv CO2",3.1.1
"ssp119",1773,"CO2_concentration",277.343264767957,"ppmv CO2",3.1.1
"ssp119",1774,"CO2_concentration",277.388785873008,"ppmv CO2",3.1.1
"ssp119",1775,"CO2_concentration",277.435853473781,"ppmv CO2",3.1.1
"ssp119",1776,"CO2_concentration",277.484494478783,"ppmv CO2",3.1.1
"ssp119",1777,"CO2_concentration",277.533976412776,"ppmv CO2",3.1.1
"ssp119",1778,"CO2_concentration",277.582764870207,"ppmv CO2",3.1.1
"ssp119",1779,"CO2_concentration",277.630452981724,"ppmv CO2",3.1.1
"ssp119",1780,"CO2_concentration",277.678027543016,"ppmv CO2",3.1.1
"ssp119",1781,"CO2_concentration",277.724142221503,"ppmv CO2",3.1.1
"ssp119",1782,"CO2_concentration",277.770450622391,"ppmv CO2",3.1.1
"ssp119",1783,"CO2_concentration",277.816544815403,"ppmv CO2",3.1.1
"ssp119",1784,"CO2_concentration",277.609830617073,"ppmv CO2",3.1.1
"ssp119",1785,"CO2_concentration",277.065229579016,"ppmv CO2",3.1.1
"ssp119",1786,"CO2_concentration",276.701977283688,"ppmv CO2",3.1.1
"ssp119",1787,"CO2_concentration",276.531934925128,"ppmv CO2",3.1.1
"ssp119",1788,"CO2_concentration",276.497312205559,"ppmv CO2",3.1.1
"ssp119",1789,"CO2_concentration",276.541280795709,"ppmv CO2",3.1.1
"ssp119",1790,"CO2_concentration",276.625040939355,"ppmv CO2",3.1.1
"ssp119",1791,"CO2_concentration",276.725747724071,"ppmv CO2",3.1.1
"ssp119",1792,"CO2_concentration",276.833693618994,"ppmv CO2",3.1.1
"ssp119",1793,"CO2_concentration",276.943649260469,"ppmv CO2",3.1.1
"ssp119",1794,"CO2_concentration",277.052893131149,"ppmv CO2",3.1.1
"ssp119",1795,"CO2_concentration",277.158972668423,"ppmv CO2",3.1.1
"ssp119",1796,"CO2_concentration",277.26372713819,"ppmv CO2",3.1.1
"ssp119",1797,"CO2_concentration",277.350320744956,"ppmv CO2",3.1.1
"ssp119",1798,"CO2_concentration",277.415220460172,"ppmv CO2",3.1.1
"ssp119",1799,"CO2_concentration",277.485040704729,"ppmv CO2",3.1.1
"ssp119",1800,"CO2_concentration",277.569248905697,"ppmv CO2",3.1.1
"ssp119",1801,"CO2_concentration",277.66290326775,"ppmv CO2",3.1.1
"ssp119",1802,"CO2_concentration",277.761752351296,"ppmv CO2",3.1.1
"ssp119",1803,"CO2_concentration",277.863452657923,"ppmv CO2",3.1.1
"ssp119",1804,"CO2_concentration",277.965426077318,"ppmv CO2",3.1.1
"ssp119",1805,"CO2_concentration",278.068343497837,"ppmv CO2",3.1.1
"ssp119",1806,"CO2_concentration",278.170669526127,"ppmv CO2",3.1.1
"ssp119",1807,"CO2_concentration",278.270136192635,"ppmv CO2",3.1.1
"ssp119",1808,"CO2_concentration",278.367427388597,"ppmv CO2",3.1.1
"ssp119",1809,"CO2_concentration",278.460835472293,"ppmv CO2",3.1.1
"ssp119",1810,"CO2_concentration",278.058419982417,"ppmv CO2",3.1.1
"ssp119",1811,"CO2_concentration",277.650358958027,"ppmv CO2",3.1.1
"ssp119",1812,"CO2_concentration",277.444360485615,"ppmv CO2",3.1.1
"ssp119",1813,"CO2_concentration",277.41534111128,"ppmv CO2",3.1.1
"ssp119",1814,"CO2_concentration",277.490886341918,"ppmv CO2",3.1.1
"ssp119",1815,"CO2_concentration",277.618303918711,"ppmv CO2",3.1.1
"ssp119",1816,"CO2_concentration",277.321518811353,"ppmv CO2",3.1.1
"ssp119",1817,"CO2_concentration",276.724224018334,"ppmv CO2",3.1.1
"ssp119",1818,"CO2_concentration",276.371620351325,"ppmv CO2",3.1.1
"ssp119",1819,"CO2_concentration",276.297792959943,"ppmv CO2",3.1.1
"ssp119",1820,"CO2_concentration",276.398388472415,"ppmv CO2",3.1.1
"ssp119",1821,"CO2_concentration",276.587822004359,"ppmv CO2",3.1.1
"ssp119",1822,"CO2_concentration",276.804975002919,"ppmv CO2",3.1.1
"ssp119",1823,"CO2_concentration",277.031927276645,"ppmv CO2",3.1.1
"ssp119",1824,"CO2_concentration",277.219037222595,"ppmv CO2",3.1.1
"ssp119",1825,"CO2_concentration",277.419334669641,"ppmv CO2",3.1.1
"ssp119",1826,"CO2_concentration",277.644188308311,"ppmv CO2",3.1.1
"ssp119",1827,"CO2_concentration",277.885980780276,"ppmv CO2",3.1.1
"ssp119",1828,"CO2_concentration",278.136296745514,"ppmv CO2",3.1.1
"ssp119",1829,"CO2_concentration",278.388257633691,"ppmv CO2",3.1.1
"ssp119",1830,"CO2_concentration",278.640836086635,"ppmv CO2",3.1.1
"ssp119",1831,"CO2_concentration",278.895627710166,"ppmv CO2",3.1.1
"ssp119",1832,"CO2_concentration",278.837744470211,"ppmv CO2",3.1.1
"ssp119",1833,"CO2_concentration",278.742479732673,"ppmv CO2",3.1.1
"ssp119",1834,"CO2_concentration",278.786794336233,"ppmv CO2",3.1.1
"ssp119",1835,"CO2_concentration",278.950116615058,"ppmv CO2",3.1.1
"ssp119",1836,"CO2_concentration",278.955357801129,"ppmv CO2",3.1.1
"ssp119",1837,"CO2_concentration",278.968564801263,"ppmv CO2",3.1.1
"ssp119",1838,"CO2_concentration",279.098754729502,"ppmv CO2",3.1.1
"ssp119",1839,"CO2_concentration",279.322436513105,"ppmv CO2",3.1.1
"ssp119",1840,"CO2_concentration",279.598696123029,"ppmv CO2",3.1.1
"ssp119",1841,"CO2_concentration",279.900234601408,"ppmv CO2",3.1.1
"ssp119",1842,"CO2_concentration",280.211877735688,"ppmv CO2",3.1.1
"ssp119",1843,"CO2_concentration",280.527472307246,"ppmv CO2",3.1.1
"ssp119",1844,"CO2_concentration",280.844324965735,"ppmv CO2",3.1.1
"ssp119",1845,"CO2_concentration",281.161897232327,"ppmv CO2",3.1.1
"ssp119",1846,"CO2_concentration",281.479007398359,"ppmv CO2",3.1.1
"ssp119",1847,"CO2_concentration",281.771597878906,"ppmv CO2",3.1.1
"ssp119",1848,"CO2_concentration",282.061330974852,"ppmv CO2",3.1.1
"ssp119",1849,"CO2_concentration",282.359427426098,"ppmv CO2",3.1.1
"ssp119",1850,"CO2_concentration",282.666994482489,"ppmv CO2",3.1.1
"ssp119",1851,"CO2_concentration",282.9805448661,"ppmv CO2",3.1.1
"ssp119",1852,"CO2_concentration",283.290294828614,"ppmv CO2",3.1.1
"ssp119",1853,"CO2_concentration",283.624067043567,"ppmv CO2",3.1.1
"ssp119",1854,"CO2_concentration",283.921666277477,"ppmv CO2",3.1.1
"ssp119",1855,"CO2_concentration",284.196335670679,"ppmv CO2",3.1.1
"ssp119",1856,"CO2_concentration",284.472484067695,"ppmv CO2",3.1.1
"ssp119",1857,"CO2_concentration",284.751348074299,"ppmv CO2",3.1.1
"ssp119",1858,"CO2_concentration",285.003473297593,"ppmv CO2",3.1.1
"ssp119",1859,"CO2_concentration",285.258403317285,"ppmv CO2",3.1.1
"ssp119",1860,"CO2_concentration",285.524451643758,"ppmv CO2",3.1.1
"ssp119",1861,"CO2_concentration",285.796008015763,"ppmv CO2",3.1.1
"ssp119",1862,"CO2_concentration",286.061625914167,"ppmv CO2",3.1.1
"ssp119",1863,"CO2_concentration",286.190879482551,"ppmv CO2",3.1.1
"ssp119",1864,"CO2_concentration",286.32563943565,"ppmv CO2",3.1.1
"ssp119",1865,"CO2_concentration",286.507542887515,"ppmv CO2",3.1.1
"ssp119",1866,"CO2_concentration",286.720763875671,"ppmv CO2",3.1.1
"ssp119",1867,"CO2_concentration",286.94788914198,"ppmv CO2",3.1.1
"ssp119",1868,"CO2_concentration",287.178957045431,"ppmv CO2",3.1.1
"ssp119",1869,"CO2_concentration",287.40630422673,"ppmv CO2",3.1.1
"ssp119",1870,"CO2_concentration",287.631734696836,"ppmv CO2",3.1.1
"ssp119",1871,"CO2_concentration",287.851880350559,"ppmv CO2",3.1.1
"ssp119",1872,"CO2_concentration",288.080085148343,"ppmv CO2",3.1.1
"ssp119",1873,"CO2_concentration",288.351510216743,"ppmv CO2",3.1.1
"ssp119",1874,"CO2_concentration",288.584892622283,"ppmv CO2",3.1.1
"ssp119",1875,"CO2_concentration",288.811337352578,"ppmv CO2",3.1.1
"ssp119",1876,"CO2_concentration",289.042000648481,"ppmv CO2",3.1.1
"ssp119",1877,"CO2_concentration",289.26994190073,"ppmv CO2",3.1.1
"ssp119",1878,"CO2_concentration",289.499579336866,"ppmv CO2",3.1.1
"ssp119",1879,"CO2_concentration",289.727638332484,"ppmv CO2",3.1.1
"ssp119",1880,"CO2_concentration",289.956328125195,"ppmv CO2",3.1.1
"ssp119",1881,"CO2_concentration",290.184925096115,"ppmv CO2",3.1.1
"ssp119",1882,"CO2_concentration",290.421058804254,"ppmv CO2",3.1.1
"ssp119",1883,"CO2_concentration",290.634706367917,"ppmv CO2",3.1.1
"ssp119",1884,"CO2_concentration",290.779858514195,"ppmv CO2",3.1.1
"ssp119",1885,"CO2_concentration",290.686646145234,"ppmv CO2",3.1.1
"ssp119",1886,"CO2_concentration",290.671296144829,"ppmv CO2",3.1.1
"ssp119",1887,"CO2_concentration",290.770854632955,"ppmv CO2",3.1.1
"ssp119",1888,"CO2_concentration",290.929883466622,"ppmv CO2",3.1.1
"ssp119",1889,"CO2_concentration",291.139734662545,"ppmv CO2",3.1.1
"ssp119",1890,"CO2_concentration",291.369902189584,"ppmv CO2",3.1.1
"ssp119",1891,"CO2_concentration",291.59868160967,"ppmv CO2",3.1.1
"ssp119",1892,"CO2_concentration",291.801850950906,"ppmv CO2",3.1.1
"ssp119",1893,"CO2_concentration",292.022852951601,"ppmv CO2",3.1.1
"ssp119",1894,"CO2_concentration",292.259949409058,"ppmv CO2",3.1.1
"ssp119",1895,"CO2_concentration",292.514745021704,"ppmv CO2",3.1.1
"ssp119",1896,"CO2_concentration",292.779631901132,"ppmv CO2",3.1.1
"ssp119",1897,"CO2_concentration",293.047292049859,"ppmv CO2",3.1.1
"ssp119",1898,"CO2_concentration",293.31871138298,"ppmv CO2",3.1.1
"ssp119",1899,"CO2_concentration",293.59490483986,"ppmv CO2",3.1.1
"ssp119",1900,"CO2_concentration",293.881019189492,"ppmv CO2",3.1.1
"ssp119",1901,"CO2_concentration",294.171179380597,"ppmv CO2",3.1.1
"ssp119",1902,"CO2_concentration",294.491836557759,"ppmv CO2",3.1.1
"ssp119",1903,"CO2_concentration",294.798351600554,"ppmv CO2",3.1.1
"ssp119",1904,"CO2_concentration",295.017329022743,"ppmv CO2",3.1.1
"ssp119",1905,"CO2_concentration",295.255484741918,"ppmv CO2",3.1.1
"ssp119",1906,"CO2_concentration",295.577894551804,"ppmv CO2",3.1.1
"ssp119",1907,"CO2_concentration",295.944846161833,"ppmv CO2",3.1.1
"ssp119",1908,"CO2_concentration",296.331048191893,"ppmv CO2",3.1.1
"ssp119",1909,"CO2_concentration",296.701814922564,"ppmv CO2",3.1.1
"ssp119",1910,"CO2_concentration",297.085100977393,"ppmv CO2",3.1.1
"ssp119",1911,"CO2_concentration",297.474695046967,"ppmv CO2",3.1.1
"ssp119",1912,"CO2_concentration",297.832030766648,"ppmv CO2",3.1.1
"ssp119",1913,"CO2_concentration",298.116378378174,"ppmv CO2",3.1.1
"ssp119",1914,"CO2_concentration",298.374868656128,"ppmv CO2",3.1.1
"ssp119",1915,"CO2_concentration",298.62048190164,"ppmv CO2",3.1.1
"ssp119",1916,"CO2_concentration",298.887394655061,"ppmv CO2",3.1.1
"ssp119",1917,"CO2_concentration",299.191133789872,"ppmv CO2",3.1.1
"ssp119",1918,"CO2_concentration",299.504108152942,"ppmv CO2",3.1.1
"ssp119",1919,"CO2_concentration",299.805875435812,"ppmv CO2",3.1.1
"ssp119",1920,"CO2_concentration",300.06049807193,"ppmv CO2",3.1.1
"ssp119",1921,"CO2_concentration",300.366433789989,"ppmv CO2",3.1.1
"ssp119",1922,"CO2_concentration",300.641845316019,"ppmv CO2",3.1.1
"ssp119",1923,"CO2_concentration",300.917631497484,"ppmv CO2",3.1.1
"ssp119",1924,"CO2_concentration",301.233906137295,"ppmv CO2",3.1.1
"ssp119",1925,"CO2_concentration",301.554758444646,"ppmv CO2",3.1.1
"ssp119",1926,"CO2_concentration",301.876189929542,"ppmv CO2",3.1.1
"ssp119",1927,"CO2_concentration",302.185919421508,"ppmv CO2",3.1.1
"ssp119",1928,"CO2_concentration",302.548708681794,"ppmv CO2",3.1.1
"ssp119",1929,"CO2_concentration",302.897431017277,"ppmv CO2",3.1.1
"ssp119",1930,"CO2_concentration",303.257301320941,"ppmv CO2",3.1.1
"ssp119",1931,"CO2_concentration",303.618711382735,"ppmv CO2",3.1.1
"ssp119",1932,"CO2_concentration",303.94311895425,"ppmv CO2",3.1.1
"ssp119",1933,"CO2_concentration",304.167492358933,"ppmv CO2",3.1.1
"ssp119",1934,"CO2_concentration",304.421708779414,"ppmv CO2",3.1.1
"ssp119",1935,"CO2_concentration",304.705510620162,"ppmv CO2",3.1.1
"ssp119",1936,"CO2_concentration",305.003104525616,"ppmv CO2",3.1.1
