"scenario","year","variable","value","units","version"
"ssp119",1750,"CO2_concentration",277.313503147003,"ppmv CO2",3.0.0
"ssp119",1751,"CO2_concentration",277.341531522745,"ppmv CO2",3.0.0
"ssp119",1752,"CO2_concentration",277.369169228585,"ppmv CO2",3.0.0
"ssp119",1753,"CO2_concentration",277.396695584545,"ppmv CO2",3.0.0
"ssp119",1754,"CO2_concentration",277.42401904589,"ppmv CO2",3.0.0
"ssp119",1755,"CO2_concentration",277.450845031911,"ppmv CO2",3.0.0
"ssp119",1756,"CO2_concentration",277.476820422011,"ppmv CO2",3.0.0
"ssp119",1757,"CO2_concentration",277.498124694568,"ppmv CO2",3.0.0
"ssp119",1758,"CO2_concentration",277.513776867408,"ppmv CO2",3.0.0
"ssp119",1759,"CO2_concentration",277.533242910445,"ppmv CO2",3.0.0
"ssp119",1760,"CO2_concentration",277.557044768642,"ppmv CO2",3.0.0
"ssp119",1761,"CO2_concentration",277.583059701569,"ppmv CO2",3.0.0
"ssp119",1762,"CO2_concentration",277.609757692719,"ppmv CO2",3.0.0
"ssp119",1763,"CO2_concentration",277.621427563128,"ppmv CO2",3.0.0
"ssp119",1764,"CO2_concentration",277.6079633914,"ppmv CO2",3.0.0
"ssp119",1765,"CO2_concentration",277.604672701509,"ppmv CO2",3.0.0
"ssp119",1766,"CO2_concentration",277.620949374717,"ppmv CO2",3.0.0
"ssp119",1767,"CO2_concentration",277.643092642806,"ppmv CO2",3.0.0
"ssp119",1768,"CO2_concentration",277.657858283534,"ppmv CO2",3.0.0
"ssp119",1769,"CO2_concentration",277.673248184921,"ppmv CO2",3.0.0
"ssp119",1770,"CO2_concentration",277.698035015616,"ppmv CO2",3.0.0
"ssp119",1771,"CO2_concentration",277.726864429481,"ppmv CO2",3.0.0
"ssp119",1772,"CO2_concentration",277.7544324649,"ppmv CO2",3.0.0
"ssp119",1773,"CO2_concentration",277.783735659321,"ppmv CO2",3.0.0
"ssp119",1774,"CO2_concentration",277.815042116453,"ppmv CO2",3.0.0
"ssp119",1775,"CO2_concentration",277.846625662308,"ppmv CO2",3.0.0
