"year","scenario","co2","gmst"
1850,"historical",2.66950256585423,-0.0640838785321176
1851,"historical",5.35717458023668,-0.0516700250227674
1852,"historical",8.07141378045956,-0.0407610292106644
1853,"historical",10.8130832717812,-0.0454215442564665
1854,"historical",13.6041817791457,-0.0524473549409594
1855,"historical",16.4099454758668,-0.0445795389574483
1856,"historical",19.2474191563237,-0.0354904973467613
1857,"historical",22.1088440836718,-0.0424405986426216
1858,"historical",24.9927501964785,-0.0368401406265848
1859,"historical",27.9049217222448,-0.024509302821586
1860,"historical",30.7696478522383,-0.0123045194480969
1861,"historical",33.6214966084408,-0.00720005833880202
1862,"historical",36.4655327570208,-0.0665858618245416
1863,"historical",39.3251709879134,-0.0837326298120072
1864,"historical",42.2070468729119,-0.0655608310342539
1865,"historical",45.1136105576025,-0.041780133022569
1866,"historical",48.0229579163205,-0.0206954733040946
1867,"historical",50.9578238823511,-0.00434433477636506
1868,"historical",53.9009016689757,0.00807348034382548
1869,"historical",56.874011112169,0.0188072165965197
1870,"historical",60.0611227579112,0.0274682973193008
1871,"historical",63.3824500254103,0.0357015307140538
1872,"historical",66.8299719046649,0.0432451199862091
1873,"historical",70.3797272523048,0.0314321572525337
1874,"historical",73.9379144509481,0.0318926098808709
1875,"historical",77.598562180273,0.0368761224129599
1876,"historical",81.3118644789432,0.0420284476328981
1877,"historical",85.0755021147957,0.0500339645163356
1878,"historical",88.8776718637677,0.0583521448825549
1879,"historical",92.7549945759907,0.0651096201293874
1880,"historical",96.7429409467568,0.0675028937526111
1881,"historical",100.80690078529,0.0695985557649757
1882,"historical",104.953804510951,0.0754893563878848
1883,"historical",109.197425948991,0.037417712474138
1884,"historical",113.484420712943,-0.122849581208977
1885,"historical",117.80868371557,-0.151897607504841
1886,"historical",122.167077680191,-0.112797280111491
1887,"historical",126.596184857994,-0.077893159758757
1888,"historical",131.16168034024,-0.0420254394355562
1889,"historical",135.751798789722,-0.0103210693220682
1890,"historical",140.568594304381,0.0025313975031018
1891,"historical",145.546176042902,-0.0028134656084887
1892,"historical",150.596627517148,0.00880601952256425
1893,"historical",155.677313980803,0.0295504433258841
1894,"historical",160.852884571491,0.0458603731813072
1895,"historical",166.156773281308,0.0586946709334189
1896,"historical",171.546741357766,0.0694567998343585
1897,"historical",177.051073250056,0.0779176084006714
1898,"historical",182.670052912995,0.0850341169980176
1899,"historical",188.468842596033,0.089925104401429
1900,"historical",194.481212886423,0.094239590721075
1901,"historical",200.649921128389,0.0987174308293843
1902,"historical",206.917702592175,0.0942624882416645
1903,"historical",213.426435026944,0.0216061263298747
1904,"historical",220.006042238372,-0.000409698505132186
1905,"historical",226.776571710856,0.0174788416030865
1906,"historical",233.706375685239,0.0407767875510581
1907,"historical",240.994577914199,0.0457320925562514
1908,"historical",248.204218949164,0.0548390370703219
1909,"historical",255.559917547181,0.0682193485558852
1910,"historical",263.030874466495,0.0778313128764514
1911,"historical",270.533887263884,0.0864880575191999
1912,"historical",278.163658450817,0.0556649323819531
1913,"historical",286.050513202123,0.0231530053948816
1914,"historical",293.566168500765,0.0301813274681734
1915,"historical",301.025302936563,0.05242508783698
1916,"historical",308.707772022118,0.070073537533331
1917,"historical",316.538398731354,0.0821388231239939
1918,"historical",324.30793350182,0.0918634005855032
1919,"historical",331.62551356216,0.104287371318154
1920,"historical",339.583341915541,0.112496972845
1921,"historical",347.223000974935,0.124431525801211
1922,"historical",355.077145101262,0.125494617285024
1923,"historical",363.405070130721,0.12443687528082
1924,"historical",371.783888240328,0.131781259369338
1925,"historical",380.218703375834,0.139037813875118
1926,"historical",388.604381696382,0.145433822030692
1927,"historical",397.342907834118,0.149321169453909
1928,"historical",406.073054425566,0.151193612106665
1929,"historical",415.090770039637,0.138004136424576
1930,"historical",423.9760168785,0.144370099643397
1931,"historical",432.593227563273,0.157713863473445
1932,"historical",440.933860505294,0.159386065488646
1933,"historical",449.528682710417,0.168546447272083
1934,"historical",458.485616420226,0.177346013518263
1935,"historical",467.668288028713,0.183039373092999
1936,"historical",477.290114991577,0.185632885485493
1937,"historical",487.239588608375,0.186723404492465
1938,"historical",496.967005131774,0.191923364907398
1939,"historical",506.952036890547,0.194573236969907
1940,"historical",517.441751934651,0.195027299914564
1941,"historical",528.096613002881,0.195470110838062
1942,"historical",538.723332542804,0.195686794509749
1943,"historical",549.409560368763,0.197101735280622
1944,"historical",560.15753941684,0.200387117998151
1945,"historical",570.005582163039,0.209353409848476
1946,"historical",580.210838964401,0.218709602951289
1947,"historical",590.899383727045,0.223061504499302
1948,"historical",601.797449927542,0.22556487617508
1949,"historical",612.467258152873,0.229545091623902
1950,"historical",624.105438678557,0.229299589922966
1951,"historical",636.38960436911,0.230591896578037
1952,"historical",648.843745045909,0.232278580316986
1953,"historical",661.566287768157,0.233892571236258
1954,"historical",674.523258158256,0.236825000633708
1955,"historical",688.208420364834,0.237322024914974
1956,"historical",702.469362415884,0.235192684090073
1957,"historical",717.061981811801,0.232330556461242
1958,"historical",731.968167948283,0.233619007643115
1959,"historical",747.427316283043,0.234782362070688
1960,"historical",762.843378763942,0.236038641665607
1961,"historical",778.036653558499,0.22951880581318
1962,"historical",793.425166445295,0.212692138004635
1963,"historical",809.199576632403,0.134524675996384
1964,"historical",825.34487449946,0.0811189140261707
1965,"historical",841.826206886354,0.0723488536622217
1966,"historical",858.720344490943,0.10396451412893
1967,"historical",875.92416463683,0.114761064820614
1968,"historical",893.767240280168,0.126994809941293
1969,"historical",912.489194895831,0.144676530211709
1970,"historical",932.294498290095,0.157238354390707
1971,"historical",952.614638866472,0.159907302582437
1972,"historical",973.544613198125,0.167913446050824
1973,"historical",995.300850316338,0.186359437496915
1974,"historical",1016.87655398325,0.201482423016216
1975,"historical",1038.37001064963,0.19177676766758
1976,"historical",1060.69469744455,0.2032910651084
1977,"historical",1083.45372164355,0.225471134553618
1978,"historical",1106.78161576452,0.24838604709316
1979,"historical",1130.5060733349,0.268069739812066
1980,"historical",1154.26034740401,0.283504695699792
1981,"historical",1177.54289003995,0.298991708359895
1982,"historical",1200.6909607502,0.293439692465789
1983,"historical",1224.12799362178,0.251481277017508
1984,"historical",1248.23888100726,0.258746084207856
1985,"historical",1273.10040835865,0.291157675652386
1986,"historical",1298.33456925604,0.321687264559939
1987,"historical",1324.30909316211,0.351186798342434
1988,"historical",1351.19413093703,0.3823929885102
1989,"historical",1378.48521743608,0.414250010323582
1990,"historical",1406.16292417872,0.44229492564094
1991,"historical",1434.27104536322,0.414683856059948
1992,"historical",1461.66140108218,0.294644882677727
1993,"historical",1489.29567086879,0.276373914097174
1994,"historical",1517.0679133748,0.33613449453002
1995,"historical",1545.29225498372,0.407207480727957
1996,"historical",1574.172623306,0.469814629355454
1997,"historical",1604.91518713612,0.512121435152562
1998,"historical",1633.59489981508,0.549667289603357
1999,"historical",1662.53392521601,0.593726763133164
2000,"historical",1692.70383337943,0.634656068442787
2001,"historical",1722.92199957875,0.66975520365148
2002,"historical",1754.33306552829,0.695551651438077
2003,"historical",1787.17344340474,0.716239125572696
2004,"historical",1821.18857777517,0.739092840618508
2005,"historical",1855.79318348563,0.758478079155166
2006,"historical",1891.64775918183,0.774541648822804
2007,"historical",1927.74798379195,0.7957382793379
2008,"historical",1964.667644119,0.822327550380909
2009,"historical",2001.99554983713,0.849136788906254
2010,"historical",2040.46631130416,0.876994509426159
2011,"historical",2079.73856828862,0.903571513383984
2012,"historical",2119.942399237,0.929768759422996
2013,"historical",2160.54824780933,0.960940752186834
2014,"historical",2201.83429686005,0.987107273633181
2015,"historical",2243.29214787436,1.02265098752938
2016,"historical",2284.21245015093,1.05849802420534
2017,"historical",2325.48048303859,1.09331867587103
2018,"historical",2367.59316880777,1.12752682463588
2019,"historical",2410.63879037608,1.16137393868678
2015,"ssp119",2243.29214787436,1.02265098752938
2016,"ssp119",2282.61257667526,1.05849802420534
2017,"ssp119",2322.04136949095,1.09309150217167
2018,"ssp119",2361.57852632145,1.12684758082711
2019,"ssp119",2401.22404716676,1.15996950427105
2020,"ssp119",2440.97793202686,1.19260703901203
2021,"ssp119",2479.04461814429,1.223966303904
2022,"ssp119",2515.42410551906,1.25389948220708
2023,"ssp119",2550.11639415115,1.28239123848509
2024,"ssp119",2583.12148404058,1.3094346847028
2025,"ssp119",2614.43937518734,1.33623429330721
2026,"ssp119",2644.07006759143,1.3626043973545
2027,"ssp119",2672.01356125285,1.38827714963345
2028,"ssp119",2698.26985617161,1.41309679609708
2029,"ssp119",2722.83895234769,1.43696945128766
2030,"ssp119",2745.72084978111,1.45983857963992
2031,"ssp119",2767.36365392055,1.47939180393026
