"year","scenario","co2","gmst"
1850,"historical",2.66950256585423,-0.058740883554508
1851,"historical",5.35717458023668,-0.0480636151693848
1852,"historical",8.07141378045956,-0.0387216490032766
1853,"historical",10.8130832717812,-0.0436182706680886
1854,"historical",13.6041817791457,-0.0495857326961408
1855,"historical",16.4099454758668,-0.0416314344386551
1856,"historical",19.2474191563237,-0.0335857539715142
1857,"historical",22.1088440836718,-0.0403452980713349
1858,"historical",24.9927501964785,-0.0344367265730657
1859,"historical",27.9049217222448,-0.0232978381356075
1860,"historical",30.7696478522384,-0.0127037887843889
1861,"historical",33.6214966084409,-0.00864345785012865
1862,"historical",36.4655327570208,-0.0635399205853979
1863,"historical",39.3251709879134,-0.0748407958873356
1864,"historical",42.2070468729119,-0.0567255367343454
1865,"historical",45.1136105576025,-0.035717341538237
1866,"historical",48.0229579163205,-0.0176650840456275
1867,"historical",50.9578238823511,-0.00396261750560681
1868,"historical",53.9009016689757,0.00637240792380412
1869,"historical",56.874011112169,0.0154381047358248
1870,"historical",60.0611227579112,0.0227347884952005
1871,"historical",63.3824500254103,0.02984795413826
1872,"historical",66.829971904665,0.036386684610934
1873,"historical",70.3797272523048,0.0251415607126286
1874,"historical",73.9379144509481,0.0266267679488525
1875,"historical",77.598562180273,0.0313976116955707
1876,"historical",81.3118644789432,0.0360740114894844
1877,"historical",85.0755021147957,0.0433592825007938
1878,"historical",88.8776718637678,0.0507072192751025
1879,"historical",92.7549945759907,0.0565569494587543
1880,"historical",96.7429409467569,0.0584625473211652
1881,"historical",100.80690078529,0.060443675317721
1882,"historical",104.953804510951,0.0659325320571778
1883,"historical",109.197425948991,0.0306713615372437
1884,"historical",113.484420712943,-0.113965314942365
1885,"historical",117.80868371557,-0.128944566195956
1886,"historical",122.167077680191,-0.0906845132043875
1887,"historical",126.596184857994,-0.0605545441670479
1888,"historical",131.16168034024,-0.0296702681346362
1889,"historical",135.751798789722,-0.00307718291774074
1890,"historical",140.568594304381,0.00632080293270514
