"scenario","co2","max","mean","min","obs"
"historical",2.66824996332499,0.003,-0.03,-0.03875,-0.0586764705882353
"historical",5.35592197770744,0.00216666666666667,-0.0285833333333333,-0.0374166666666667,0.0488235294117647
"historical",8.07016117793032,0.00158333333333333,-0.0271666666666667,-0.0360833333333333,0.0788235294117647
"historical",10.811830669252,0.00025,-0.0255833333333333,-0.0350833333333334,0.0463235294117647
"historical",13.6029291766165,-0.00133333333333333,-0.025,-0.0340833333333334,0.0488235294117647
"historical",16.4086928733376,-0.00333333333333333,-0.025,-0.0336666666666667,0.0488235294117647
"historical",19.2461665537945,-0.00575,-0.024,-0.033,-0.0511764705882353
"historical",22.1075914811426,-0.00775,-0.024,-0.0326666666666667,-0.146176470588235
"historical",24.9914975939493,-0.00983333333333333,-0.0235833333333333,-0.032,-0.0386764705882353
"historical",27.9036691197156,-0.0119166666666667,-0.023,-0.032,0.0688235294117647
"historical",30.7683952497091,-0.01375,-0.0236666666666667,-0.032,-0.0561764705882353
"historical",33.6202440059116,-0.0155,-0.0241666666666667,-0.031,-0.0911764705882353
"historical",36.4642801544916,-0.0170833333333333,-0.025,-0.031,-0.153676470588235
"historical",39.3239183853842,-0.0184166666666667,-0.025,-0.031,0.00132352941176472
"historical",42.2057942703827,-0.0195,-0.025,-0.0308333333333333,-0.0486764705882353
"historical",45.1123579550733,-0.02,-0.0245,-0.03,0.0338235294117647
"historical",48.0217053137913,-0.0198333333333333,-0.024,-0.0299166666666667,0.0513235294117647
"historical",50.9565712798219,-0.019,-0.0230833333333333,-0.0288333333333333,0.0488235294117647
"historical",53.8996490664465,-0.0179166666666667,-0.0218333333333333,-0.0275833333333333,0.0613235294117647
"historical",56.8727585096397,-0.0165833333333333,-0.0204166666666667,-0.0259166666666667,0.0588235294117647
"historical",60.059870155382,-0.0149166666666667,-0.0183333333333333,-0.0238333333333333,0.0213235294117647
"historical",63.3811974228811,-0.0129166666666667,-0.0163333333333333,-0.0214166666666667,-0.00617647058823526
