"model","scenario","year","variable","value"
"ACCESS-CM2","ssp126",1850,"global_tas",0.0824812340434089
"ACCESS-CM2","ssp126",1850,"land_tas",0.159690130718957
"ACCESS-CM2","ssp126",1850,"sst",0.055984679738562
"ACCESS-CM2","ssp126",1851,"global_tas",0.0857498530985483
"ACCESS-CM2","ssp126",1851,"land_tas",0.159313464052275
"ACCESS-CM2","ssp126",1851,"sst",0.0431820686274506
"ACCESS-CM2","ssp126",1852,"global_tas",0.046769716341487
"ACCESS-CM2","ssp126",1852,"land_tas",0.048753464052273
"ACCESS-CM2","ssp126",1852,"sst",0.0617508186274505
"ACCESS-CM2","ssp126",1853,"global_tas",0.0890494084250501
"ACCESS-CM2","ssp126",1853,"land_tas",0.16086679738559
"ACCESS-CM2","ssp126",1853,"sst",0.0734209575163403
"ACCESS-CM2","ssp126",1854,"global_tas",0.0923004764620336
"ACCESS-CM2","ssp126",1854,"land_tas",0.152420130718952
"ACCESS-CM2","ssp126",1854,"sst",0.049576263071896
"ACCESS-CM2","ssp126",1855,"global_tas",0.0551946966815914
"ACCESS-CM2","ssp126",1855,"land_tas",0.0706634640522641
"ACCESS-CM2","ssp126",1855,"sst",0.0170237908496724
"ACCESS-CM2","ssp126",1856,"global_tas",0.0465932368835335
"ACCESS-CM2","ssp126",1856,"land_tas",0.0945101307189399
"ACCESS-CM2","ssp126",1856,"sst",0.0209111241830061
"ACCESS-CM2","ssp126",1857,"global_tas",0.128949037049419
"ACCESS-CM2","ssp126",1857,"land_tas",0.185050130718954
"ACCESS-CM2","ssp126",1857,"sst",0.0919498464052281
"ACCESS-CM2","ssp126",1858,"global_tas",0.102916784898677
"ACCESS-CM2","ssp126",1858,"land_tas",0.134343464052279
"ACCESS-CM2","ssp126",1858,"sst",0.0606072908496728
"ACCESS-CM2","ssp126",1859,"global_tas",0.111974430386283
"ACCESS-CM2","ssp126",1859,"land_tas",0.163250130718931
"ACCESS-CM2","ssp126",1859,"sst",0.0711699019607837
"ACCESS-CM2","ssp126",1860,"global_tas",0.0583624904668718
"ACCESS-CM2","ssp126",1860,"land_tas",0.10717679738561
"ACCESS-CM2","ssp126",1860,"sst",0.0226536241830061
"ACCESS-CM2","ssp126",1861,"global_tas",0.0104933470328963
"ACCESS-CM2","ssp126",1861,"land_tas",0.00853346405225847
"ACCESS-CM2","ssp126",1861,"sst",0.00811120751633943
"ACCESS-CM2","ssp126",1862,"global_tas",0.0207039033316316
"ACCESS-CM2","ssp126",1862,"land_tas",0.000323464052257527
"ACCESS-CM2","ssp126",1862,"sst",-0.00546784803921616
"ACCESS-CM2","ssp126",1863,"global_tas",-0.0669894021691751
"ACCESS-CM2","ssp126",1863,"land_tas",-0.0278365359477372
"ACCESS-CM2","ssp126",1863,"sst",-0.0980502647058821
"ACCESS-CM2","ssp126",1864,"global_tas",-0.039911220633428
"ACCESS-CM2","ssp126",1864,"land_tas",-0.0267865359477354
"ACCESS-CM2","ssp126",1864,"sst",-0.0461832647058827
"ACCESS-CM2","ssp126",1865,"global_tas",-0.00844511618205006
"ACCESS-CM2","ssp126",1865,"land_tas",0.0635867973855964
"ACCESS-CM2","ssp126",1865,"sst",-0.0525889869281052
"ACCESS-CM2","ssp126",1866,"global_tas",-0.0981270300531492
"ACCESS-CM2","ssp126",1866,"land_tas",-0.108149869281059
"ACCESS-CM2","ssp126",1866,"sst",-0.0861695147058824
"ACCESS-CM2","ssp126",1867,"global_tas",0.0397730679577346
"ACCESS-CM2","ssp126",1867,"land_tas",0.0736234640522753
"ACCESS-CM2","ssp126",1867,"sst",0.00767245751634004
"ACCESS-CM2","ssp126",1868,"global_tas",0.0167636746988934
"ACCESS-CM2","ssp126",1868,"land_tas",-0.0228832026144043
"ACCESS-CM2","ssp126",1868,"sst",-0.0136160980392152
"ACCESS-CM2","ssp126",1869,"global_tas",0.058747472795062
"ACCESS-CM2","ssp126",1869,"land_tas",0.0317934640522518
"ACCESS-CM2","ssp126",1869,"sst",0.0419894019607848
"ACCESS-CM2","ssp126",1870,"global_tas",0.0588001964396957
"ACCESS-CM2","ssp126",1870,"land_tas",0.0456234640522932
"ACCESS-CM2","ssp126",1870,"sst",0.0349910130718951
"ACCESS-CM2","ssp126",1871,"global_tas",0.0642414358372889
"ACCESS-CM2","ssp126",1871,"land_tas",0.0405334640522787
"ACCESS-CM2","ssp126",1871,"sst",0.0639170408496736
"ACCESS-CM2","ssp126",1872,"global_tas",0.184314251388666
"ACCESS-CM2","ssp126",1872,"land_tas",0.294906797385598
"ACCESS-CM2","ssp126",1872,"sst",0.140639929738562
"ACCESS-CM2","ssp126",1873,"global_tas",0.0814011392789667
"ACCESS-CM2","ssp126",1873,"land_tas",0.121046797385607
"ACCESS-CM2","ssp126",1873,"sst",0.0741887630718946
"ACCESS-CM2","ssp126",1874,"global_tas",0.0861212679496741
"ACCESS-CM2","ssp126",1874,"land_tas",0.167010130718931
"ACCESS-CM2","ssp126",1874,"sst",0.0370562630718951
"ACCESS-CM2","ssp126",1875,"global_tas",0.0529629672179605
"ACCESS-CM2","ssp126",1875,"land_tas",0.0813634640522689
"ACCESS-CM2","ssp126",1875,"sst",0.0106083741830063
"ACCESS-CM2","ssp126",1876,"global_tas",-0.0314859115872726
"ACCESS-CM2","ssp126",1876,"land_tas",-0.0349098692810609
"ACCESS-CM2","ssp126",1876,"sst",-0.0105784035947708
"ACCESS-CM2","ssp126",1877,"global_tas",0.10792149193503
"ACCESS-CM2","ssp126",1877,"land_tas",0.130776797385617
"ACCESS-CM2","ssp126",1877,"sst",0.0707970686274514
"ACCESS-CM2","ssp126",1878,"global_tas",0.088797685456086
"ACCESS-CM2","ssp126",1878,"land_tas",0.0976034640522697
"ACCESS-CM2","ssp126",1878,"sst",0.06972495751634
"ACCESS-CM2","ssp126",1879,"global_tas",0.0489304584558377
"ACCESS-CM2","ssp126",1879,"land_tas",0.0572867973856243
"ACCESS-CM2","ssp126",1879,"sst",0.0651657908496722
"ACCESS-CM2","ssp126",1880,"global_tas",0.0457350566911526
"ACCESS-CM2","ssp126",1880,"land_tas",0.132483464052276
"ACCESS-CM2","ssp126",1880,"sst",0.0270552908496738
"ACCESS-CM2","ssp126",1881,"global_tas",-0.00984893260497679
"ACCESS-CM2","ssp126",1881,"land_tas",-0.0417732026143843
"ACCESS-CM2","ssp126",1881,"sst",-0.00171643137254921
"ACCESS-CM2","ssp126",1882,"global_tas",0.0313179367847549
"ACCESS-CM2","ssp126",1882,"land_tas",0.00997346405226077
"ACCESS-CM2","ssp126",1882,"sst",0.0512939297385614
"ACCESS-CM2","ssp126",1883,"global_tas",-0.0300415514848661
"ACCESS-CM2","ssp126",1883,"land_tas",-0.0700698692810611
"ACCESS-CM2","ssp126",1883,"sst",-0.0096902647058826
"ACCESS-CM2","ssp126",1884,"global_tas",-0.37071216467056
"ACCESS-CM2","ssp126",1884,"land_tas",-0.626356535947726
"ACCESS-CM2","ssp126",1884,"sst",-0.236572959150326
"ACCESS-CM2","ssp126",1885,"global_tas",-0.30071473358286
"ACCESS-CM2","ssp126",1885,"land_tas",-0.484803202614406
"ACCESS-CM2","ssp126",1885,"sst",-0.198777625816992
"ACCESS-CM2","ssp126",1886,"global_tas",-0.242114365886115
"ACCESS-CM2","ssp126",1886,"land_tas",-0.374829869281048
"ACCESS-CM2","ssp126",1886,"sst",-0.159114486928104
"ACCESS-CM2","ssp126",1887,"global_tas",-0.0980510378201795
"ACCESS-CM2","ssp126",1887,"land_tas",-0.127223202614384
"ACCESS-CM2","ssp126",1887,"sst",-0.0689663480392152
"ACCESS-CM2","ssp126",1888,"global_tas",-0.0811888596792871
"ACCESS-CM2","ssp126",1888,"land_tas",-0.13994653594771
"ACCESS-CM2","ssp126",1888,"sst",-0.0467456535947703
"ACCESS-CM2","ssp126",1889,"global_tas",-0.0871868321755375
"ACCESS-CM2","ssp126",1889,"land_tas",-0.128753202614405
"ACCESS-CM2","ssp126",1889,"sst",-0.0249824591503266
