"model","scenario","year","variable","value"
"ACCESS-CM2","ssp126",1890,"global_tas",-0.0534876155252088
"ACCESS-CM2","ssp126",1890,"land_tas",-0.0601998692810639
"ACCESS-CM2","ssp126",1890,"sst",0.000921901960785503
"ACCESS-CM2","ssp126",1891,"global_tas",-0.0755039683562018
"ACCESS-CM2","ssp126",1891,"land_tas",-0.0484732026144076
"ACCESS-CM2","ssp126",1891,"sst",-0.00676223692810413
"ACCESS-CM2","ssp126",1892,"global_tas",-0.141554887429038
"ACCESS-CM2","ssp126",1892,"land_tas",-0.152449869281042
"ACCESS-CM2","ssp126",1892,"sst",-0.10125115359477
"ACCESS-CM2","ssp126",1893,"global_tas",-0.163500604947804
"ACCESS-CM2","ssp126",1893,"land_tas",-0.221286535947722
"ACCESS-CM2","ssp126",1893,"sst",-0.10224104248366
"ACCESS-CM2","ssp126",1894,"global_tas",-0.0434192911004629
"ACCESS-CM2","ssp126",1894,"land_tas",-0.0637165359477382
"ACCESS-CM2","ssp126",1894,"sst",-0.0149255424836588
"ACCESS-CM2","ssp126",1895,"global_tas",-0.022573748258291
"ACCESS-CM2","ssp126",1895,"land_tas",-0.00809320261438037
"ACCESS-CM2","ssp126",1895,"sst",-0.0293116535947712
"ACCESS-CM2","ssp126",1896,"global_tas",-0.00317171701851749
"ACCESS-CM2","ssp126",1896,"land_tas",-0.0394298692810557
"ACCESS-CM2","ssp126",1896,"sst",-0.0032994591503282
"ACCESS-CM2","ssp126",1897,"global_tas",0.0133348300732527
"ACCESS-CM2","ssp126",1897,"land_tas",-0.0550698692810556
"ACCESS-CM2","ssp126",1897,"sst",0.0185914019607845
"ACCESS-CM2","ssp126",1898,"global_tas",0.0225480153742031
"ACCESS-CM2","ssp126",1898,"land_tas",0.0516934640522776
"ACCESS-CM2","ssp126",1898,"sst",0.00158623529411717
"ACCESS-CM2","ssp126",1899,"global_tas",0.0490791891652027
"ACCESS-CM2","ssp126",1899,"land_tas",0.118050130718927
"ACCESS-CM2","ssp126",1899,"sst",0.0221910964052284
"ACCESS-CM2","ssp126",1900,"global_tas",-0.0142997614357228
"ACCESS-CM2","ssp126",1900,"land_tas",-0.0992098692810449
"ACCESS-CM2","ssp126",1900,"sst",0.00227920751634017
"ACCESS-CM2","ssp126",1901,"global_tas",-0.0488491439800215
"ACCESS-CM2","ssp126",1901,"land_tas",-0.0851065359477161
"ACCESS-CM2","ssp126",1901,"sst",-0.00933629248366117
"ACCESS-CM2","ssp126",1902,"global_tas",0.0282095728810532
"ACCESS-CM2","ssp126",1902,"land_tas",-0.0666332026143929
"ACCESS-CM2","ssp126",1902,"sst",0.0415560130718958
"ACCESS-CM2","ssp126",1903,"global_tas",-0.174668587822737
"ACCESS-CM2","ssp126",1903,"land_tas",-0.375409869281043
"ACCESS-CM2","ssp126",1903,"sst",-0.0775206535947726
"ACCESS-CM2","ssp126",1904,"global_tas",-0.134788512835068
"ACCESS-CM2","ssp126",1904,"land_tas",-0.281749869281062
"ACCESS-CM2","ssp126",1904,"sst",-0.0473035980392167
"ACCESS-CM2","ssp126",1905,"global_tas",-0.115736468348681
"ACCESS-CM2","ssp126",1905,"land_tas",-0.169139869281044
"ACCESS-CM2","ssp126",1905,"sst",-0.0305825147058829
"ACCESS-CM2","ssp126",1906,"global_tas",-0.0494962429818315
"ACCESS-CM2","ssp126",1906,"land_tas",-0.105409869281061
"ACCESS-CM2","ssp126",1906,"sst",-0.0237699035947712
"ACCESS-CM2","ssp126",1907,"global_tas",-0.0801506090652236
"ACCESS-CM2","ssp126",1907,"land_tas",-0.131289869281071
"ACCESS-CM2","ssp126",1907,"sst",-0.0218756258169939
"ACCESS-CM2","ssp126",1908,"global_tas",-0.12644987259074
"ACCESS-CM2","ssp126",1908,"land_tas",-0.217269869281059
"ACCESS-CM2","ssp126",1908,"sst",-0.0748862924836604
"ACCESS-CM2","ssp126",1909,"global_tas",-0.0777075776904514
"ACCESS-CM2","ssp126",1909,"land_tas",-0.179143202614398
"ACCESS-CM2","ssp126",1909,"sst",0.0114438741830059
"ACCESS-CM2","ssp126",1910,"global_tas",0.0233908327008218
"ACCESS-CM2","ssp126",1910,"land_tas",0.0332067973856169
"ACCESS-CM2","ssp126",1910,"sst",0.0546120686274513
"ACCESS-CM2","ssp126",1911,"global_tas",0.00120650859114823
"ACCESS-CM2","ssp126",1911,"land_tas",0.0507934640522761
"ACCESS-CM2","ssp126",1911,"sst",0.0157485964052287
"ACCESS-CM2","ssp126",1912,"global_tas",-0.106851053210733
"ACCESS-CM2","ssp126",1912,"land_tas",-0.144569869281061
"ACCESS-CM2","ssp126",1912,"sst",-0.0401064313725489
"ACCESS-CM2","ssp126",1913,"global_tas",-0.186492103625161
"ACCESS-CM2","ssp126",1913,"land_tas",-0.263739869281058
"ACCESS-CM2","ssp126",1913,"sst",-0.092948181372549
"ACCESS-CM2","ssp126",1914,"global_tas",-0.188107131305912
"ACCESS-CM2","ssp126",1914,"land_tas",-0.30088653594773
"ACCESS-CM2","ssp126",1914,"sst",-0.109934348039216
"ACCESS-CM2","ssp126",1915,"global_tas",-0.204459345303633
"ACCESS-CM2","ssp126",1915,"land_tas",-0.381743202614378
"ACCESS-CM2","ssp126",1915,"sst",-0.0991082647058822
"ACCESS-CM2","ssp126",1916,"global_tas",0.0126640600132456
"ACCESS-CM2","ssp126",1916,"land_tas",-0.0410665359477396
"ACCESS-CM2","ssp126",1916,"sst",0.0284769852941181
"ACCESS-CM2","ssp126",1917,"global_tas",-0.0478047058191656
"ACCESS-CM2","ssp126",1917,"land_tas",-0.177959869281059
"ACCESS-CM2","ssp126",1917,"sst",-0.00765323692810359
"ACCESS-CM2","ssp126",1918,"global_tas",0.0716872960155682
"ACCESS-CM2","ssp126",1918,"land_tas",0.0805001307189551
"ACCESS-CM2","ssp126",1918,"sst",0.0711104852941177
"ACCESS-CM2","ssp126",1919,"global_tas",0.0968984432810012
"ACCESS-CM2","ssp126",1919,"land_tas",0.0802367973856232
"ACCESS-CM2","ssp126",1919,"sst",0.0725556797385622
"ACCESS-CM2","ssp126",1920,"global_tas",0.0590867110104797
"ACCESS-CM2","ssp126",1920,"land_tas",0.058080130718963
"ACCESS-CM2","ssp126",1920,"sst",0.0430078464052275
"ACCESS-CM2","ssp126",1921,"global_tas",0.0244996485030431
"ACCESS-CM2","ssp126",1921,"land_tas",-0.0567365359477207
"ACCESS-CM2","ssp126",1921,"sst",0.0480671241830063
"ACCESS-CM2","ssp126",1922,"global_tas",-0.0300733860588403
"ACCESS-CM2","ssp126",1922,"land_tas",-0.0864598692810433
"ACCESS-CM2","ssp126",1922,"sst",0.00337267973856208
"ACCESS-CM2","ssp126",1923,"global_tas",0.0403751500451789
"ACCESS-CM2","ssp126",1923,"land_tas",0.0374901307189362
"ACCESS-CM2","ssp126",1923,"sst",0.03305545751634
"ACCESS-CM2","ssp126",1924,"global_tas",0.101564723463753
"ACCESS-CM2","ssp126",1924,"land_tas",0.0945734640522646
"ACCESS-CM2","ssp126",1924,"sst",0.0766849297385617
"ACCESS-CM2","ssp126",1925,"global_tas",0.0737254812061299
"ACCESS-CM2","ssp126",1925,"land_tas",0.0325801307189219
"ACCESS-CM2","ssp126",1925,"sst",0.058238846405229
"ACCESS-CM2","ssp126",1926,"global_tas",0.0250447818592647
"ACCESS-CM2","ssp126",1926,"land_tas",-0.0155632026143925
"ACCESS-CM2","ssp126",1926,"sst",0.0368560130718953
"ACCESS-CM2","ssp126",1927,"global_tas",0.0360125464509337
"ACCESS-CM2","ssp126",1927,"land_tas",-0.0187965359477289
"ACCESS-CM2","ssp126",1927,"sst",0.0341570686274508
"ACCESS-CM2","ssp126",1928,"global_tas",0.0473564642780958
"ACCESS-CM2","ssp126",1928,"land_tas",0.0167301307189404
"ACCESS-CM2","ssp126",1928,"sst",0.0796017352941178
"ACCESS-CM2","ssp126",1929,"global_tas",0.0858829124562705
"ACCESS-CM2","ssp126",1929,"land_tas",0.0288634640522598
"ACCESS-CM2","ssp126",1929,"sst",0.106624679738562
"ACCESS-CM2","ssp126",1930,"global_tas",0.0781513288357586
"ACCESS-CM2","ssp126",1930,"land_tas",0.0872834640522911
"ACCESS-CM2","ssp126",1930,"sst",0.0751533464052276
"ACCESS-CM2","ssp126",1931,"global_tas",0.042772965823493
"ACCESS-CM2","ssp126",1931,"land_tas",-0.0182165359477153
"ACCESS-CM2","ssp126",1931,"sst",0.0450819575163389
"ACCESS-CM2","ssp126",1932,"global_tas",-0.0137488451410755
"ACCESS-CM2","ssp126",1932,"land_tas",-0.071996535947733
"ACCESS-CM2","ssp126",1932,"sst",0.00356723529411794
"ACCESS-CM2","ssp126",1933,"global_tas",0.0960108523645241
"ACCESS-CM2","ssp126",1933,"land_tas",0.0810967973856123
"ACCESS-CM2","ssp126",1933,"sst",0.08202720751634
"ACCESS-CM2","ssp126",1934,"global_tas",0.171669551226766
"ACCESS-CM2","ssp126",1934,"land_tas",0.255873464052267
"ACCESS-CM2","ssp126",1934,"sst",0.119694318627451
"ACCESS-CM2","ssp126",1935,"global_tas",0.116573271724273
"ACCESS-CM2","ssp126",1935,"land_tas",0.0794167973855907
"ACCESS-CM2","ssp126",1935,"sst",0.0966238741830084
"ACCESS-CM2","ssp126",1936,"global_tas",0.159683216807385
"ACCESS-CM2","ssp126",1936,"land_tas",0.115293464052267
"ACCESS-CM2","ssp126",1936,"sst",0.132368429738561
"ACCESS-CM2","ssp126",1937,"global_tas",0.113107718163519
"ACCESS-CM2","ssp126",1937,"land_tas",0.0493767973856052
"ACCESS-CM2","ssp126",1937,"sst",0.109334457516339
"ACCESS-CM2","ssp126",1938,"global_tas",0.153708855810502
"ACCESS-CM2","ssp126",1938,"land_tas",0.104766797385613
"ACCESS-CM2","ssp126",1938,"sst",0.156614846405228
"ACCESS-CM2","ssp126",1939,"global_tas",0.201411255237474
"ACCESS-CM2","ssp126",1939,"land_tas",0.253506797385607
"ACCESS-CM2","ssp126",1939,"sst",0.175001568627452
"ACCESS-CM2","ssp126",1940,"global_tas",0.168798206927193
"ACCESS-CM2","ssp126",1940,"land_tas",0.156390130718932
"ACCESS-CM2","ssp126",1940,"sst",0.144013735294117
"ACCESS-CM2","ssp126",1941,"global_tas",0.135971287329937
"ACCESS-CM2","ssp126",1941,"land_tas",0.09917679738561
"ACCESS-CM2","ssp126",1941,"sst",0.15924545751634
"ACCESS-CM2","ssp126",1942,"global_tas",0.173967563430627
"ACCESS-CM2","ssp126",1942,"land_tas",0.262533464052278
"ACCESS-CM2","ssp126",1942,"sst",0.140665790849674
"ACCESS-CM2","ssp126",1943,"global_tas",0.141065662695515
"ACCESS-CM2","ssp126",1943,"land_tas",0.189043464052266
"ACCESS-CM2","ssp126",1943,"sst",0.125856901960785
"ACCESS-CM2","ssp126",1944,"global_tas",0.220255266029445
"ACCESS-CM2","ssp126",1944,"land_tas",0.32153679738561
"ACCESS-CM2","ssp126",1944,"sst",0.140510985294117
"ACCESS-CM2","ssp126",1945,"global_tas",0.173564494179307
"ACCESS-CM2","ssp126",1945,"land_tas",0.208503464052285
"ACCESS-CM2","ssp126",1945,"sst",0.113496596405229
"ACCESS-CM2","ssp126",1946,"global_tas",0.198578771875589
"ACCESS-CM2","ssp126",1946,"land_tas",0.260903464052262
"ACCESS-CM2","ssp126",1946,"sst",0.136851235294118
"ACCESS-CM2","ssp126",1947,"global_tas",0.160442131650256
"ACCESS-CM2","ssp126",1947,"land_tas",0.230486797385595
"ACCESS-CM2","ssp126",1947,"sst",0.093242401960784
"ACCESS-CM2","ssp126",1948,"global_tas",0.104003909698823
"ACCESS-CM2","ssp126",1948,"land_tas",0.0784901307189516
"ACCESS-CM2","ssp126",1948,"sst",0.0983064297385612
"ACCESS-CM2","ssp126",1949,"global_tas",0.198465824048772
"ACCESS-CM2","ssp126",1949,"land_tas",0.267370130718935
"ACCESS-CM2","ssp126",1949,"sst",0.13367820751634
"ACCESS-CM2","ssp126",1950,"global_tas",0.104153915430326
"ACCESS-CM2","ssp126",1950,"land_tas",0.0682167973855978
"ACCESS-CM2","ssp126",1950,"sst",0.0997876797385613
"ACCESS-CM2","ssp126",1951,"global_tas",0.0989601592809018
"ACCESS-CM2","ssp126",1951,"land_tas",0.0407967973855913
"ACCESS-CM2","ssp126",1951,"sst",0.100606929738562
"ACCESS-CM2","ssp126",1952,"global_tas",0.139680403101768
"ACCESS-CM2","ssp126",1952,"land_tas",0.102293464052271
"ACCESS-CM2","ssp126",1952,"sst",0.124439485294118
"ACCESS-CM2","ssp126",1953,"global_tas",0.135713998630005
"ACCESS-CM2","ssp126",1953,"land_tas",0.105536797385582
"ACCESS-CM2","ssp126",1953,"sst",0.104699568627451
"ACCESS-CM2","ssp126",1954,"global_tas",0.0363427831090915
"ACCESS-CM2","ssp126",1954,"land_tas",-0.0226298692810663
"ACCESS-CM2","ssp126",1954,"sst",0.014600929738563
"ACCESS-CM2","ssp126",1955,"global_tas",0.131045669574367
"ACCESS-CM2","ssp126",1955,"land_tas",0.194126797385612
"ACCESS-CM2","ssp126",1955,"sst",0.0772925964052277
"ACCESS-CM2","ssp126",1956,"global_tas",0.0825031559065983
"ACCESS-CM2","ssp126",1956,"land_tas",0.0769867973856056
"ACCESS-CM2","ssp126",1956,"sst",0.0670494852941177
"ACCESS-CM2","ssp126",1957,"global_tas",0.0367965072354651
"ACCESS-CM2","ssp126",1957,"land_tas",-0.0388998692810675
"ACCESS-CM2","ssp126",1957,"sst",0.0505142075163396
"ACCESS-CM2","ssp126",1958,"global_tas",0.0123663135450821
"ACCESS-CM2","ssp126",1958,"land_tas",-0.0622432026143731
"ACCESS-CM2","ssp126",1958,"sst",0.0432656241830072
"ACCESS-CM2","ssp126",1959,"global_tas",0.0772271232485575
"ACCESS-CM2","ssp126",1959,"land_tas",0.119210130718936
"ACCESS-CM2","ssp126",1959,"sst",0.035498624183006
"ACCESS-CM2","ssp126",1960,"global_tas",0.108856778732483
"ACCESS-CM2","ssp126",1960,"land_tas",0.0863401307189519
"ACCESS-CM2","ssp126",1960,"sst",0.116216735294117
"ACCESS-CM2","ssp126",1961,"global_tas",0.167371163126139
"ACCESS-CM2","ssp126",1961,"land_tas",0.163706797385601
"ACCESS-CM2","ssp126",1961,"sst",0.149014846405228
"ACCESS-CM2","ssp126",1962,"global_tas",0.0559136118754394
"ACCESS-CM2","ssp126",1962,"land_tas",-0.00312320261440409
"ACCESS-CM2","ssp126",1962,"sst",0.0663665130718956
"ACCESS-CM2","ssp126",1963,"global_tas",-0.0459579604825724
"ACCESS-CM2","ssp126",1963,"land_tas",-0.157483202614382
"ACCESS-CM2","ssp126",1963,"sst",-0.0108060980392161
"ACCESS-CM2","ssp126",1964,"global_tas",-0.0480177370234098
"ACCESS-CM2","ssp126",1964,"land_tas",-0.135923202614397
"ACCESS-CM2","ssp126",1964,"sst",-0.0376762647058823
"ACCESS-CM2","ssp126",1965,"global_tas",-0.152425844092401
"ACCESS-CM2","ssp126",1965,"land_tas",-0.332776535947706
"ACCESS-CM2","ssp126",1965,"sst",-0.0918138758169937
"ACCESS-CM2","ssp126",1966,"global_tas",-0.0965082338724034
"ACCESS-CM2","ssp126",1966,"land_tas",-0.288839869281049
"ACCESS-CM2","ssp126",1966,"sst",-0.0159256535947718
"ACCESS-CM2","ssp126",1967,"global_tas",-0.0853762841936713
"ACCESS-CM2","ssp126",1967,"land_tas",-0.200303202614407
"ACCESS-CM2","ssp126",1967,"sst",-0.024628181372549
"ACCESS-CM2","ssp126",1968,"global_tas",0.038727601253394
"ACCESS-CM2","ssp126",1968,"land_tas",-0.0631898692810562
"ACCESS-CM2","ssp126",1968,"sst",0.0608805130718956
"ACCESS-CM2","ssp126",1969,"global_tas",0.0615305865842214
"ACCESS-CM2","ssp126",1969,"land_tas",-0.0396165359477436
"ACCESS-CM2","ssp126",1969,"sst",0.061740929738563
"ACCESS-CM2","ssp126",1970,"global_tas",-0.0382307621320591
"ACCESS-CM2","ssp126",1970,"land_tas",-0.150669869281046
"ACCESS-CM2","ssp126",1970,"sst",-0.0155191535947714
"ACCESS-CM2","ssp126",1971,"global_tas",0.00116187914710527
"ACCESS-CM2","ssp126",1971,"land_tas",-0.0648965359477338
"ACCESS-CM2","ssp126",1971,"sst",0.00206390196078582
"ACCESS-CM2","ssp126",1972,"global_tas",-0.0275444634931621
"ACCESS-CM2","ssp126",1972,"land_tas",-0.137819869281051
"ACCESS-CM2","ssp126",1972,"sst",0.0269847630718964
"ACCESS-CM2","ssp126",1973,"global_tas",0.105413312682344
"ACCESS-CM2","ssp126",1973,"land_tas",0.0616734640522811
"ACCESS-CM2","ssp126",1973,"sst",0.115641624183006
"ACCESS-CM2","ssp126",1974,"global_tas",-0.00515393263998476
"ACCESS-CM2","ssp126",1974,"land_tas",-0.0877498692810641
"ACCESS-CM2","ssp126",1974,"sst",0.0261723741830075
"ACCESS-CM2","ssp126",1975,"global_tas",-0.0620473234976847
"ACCESS-CM2","ssp126",1975,"land_tas",-0.25354653594773
"ACCESS-CM2","ssp126",1975,"sst",0.00074365196078314
"ACCESS-CM2","ssp126",1976,"global_tas",0.030394822530089
"ACCESS-CM2","ssp126",1976,"land_tas",-0.0544098692810545
"ACCESS-CM2","ssp126",1976,"sst",0.0164404852941175
"ACCESS-CM2","ssp126",1977,"global_tas",0.0224169313651905
"ACCESS-CM2","ssp126",1977,"land_tas",-0.00357653594772943
"ACCESS-CM2","ssp126",1977,"sst",0.0249362630718968
"ACCESS-CM2","ssp126",1978,"global_tas",0.13824775057329
"ACCESS-CM2","ssp126",1978,"land_tas",0.144436797385595
"ACCESS-CM2","ssp126",1978,"sst",0.106394901960784
"ACCESS-CM2","ssp126",1979,"global_tas",0.161146417439549
"ACCESS-CM2","ssp126",1979,"land_tas",0.147973464052275
"ACCESS-CM2","ssp126",1979,"sst",0.118574901960785
"ACCESS-CM2","ssp126",1980,"global_tas",0.109834215305796
"ACCESS-CM2","ssp126",1980,"land_tas",0.117426797385595
"ACCESS-CM2","ssp126",1980,"sst",0.0856212352941173
"ACCESS-CM2","ssp126",1981,"global_tas",0.140239353934135
"ACCESS-CM2","ssp126",1981,"land_tas",0.0613867973855997
"ACCESS-CM2","ssp126",1981,"sst",0.129907818627451
"ACCESS-CM2","ssp126",1982,"global_tas",0.141342529119205
"ACCESS-CM2","ssp126",1982,"land_tas",0.0380234640522873
"ACCESS-CM2","ssp126",1982,"sst",0.102585235294118
"ACCESS-CM2","ssp126",1983,"global_tas",0.0137029068814627
"ACCESS-CM2","ssp126",1983,"land_tas",-0.202179869281053
"ACCESS-CM2","ssp126",1983,"sst",0.0708945686274516
"ACCESS-CM2","ssp126",1984,"global_tas",0.140404080721548
"ACCESS-CM2","ssp126",1984,"land_tas",0.120273464052275
"ACCESS-CM2","ssp126",1984,"sst",0.0978854852941185
"ACCESS-CM2","ssp126",1985,"global_tas",0.206605019738201
"ACCESS-CM2","ssp126",1985,"land_tas",0.213130130718923
"ACCESS-CM2","ssp126",1985,"sst",0.134421346405228
"ACCESS-CM2","ssp126",1986,"global_tas",0.32274364377984
"ACCESS-CM2","ssp126",1986,"land_tas",0.368366797385609
"ACCESS-CM2","ssp126",1986,"sst",0.210092124183006
"ACCESS-CM2","ssp126",1987,"global_tas",0.178172199516079
"ACCESS-CM2","ssp126",1987,"land_tas",0.0756934640522785
"ACCESS-CM2","ssp126",1987,"sst",0.135922679738563
"ACCESS-CM2","ssp126",1988,"global_tas",0.239921579919155
"ACCESS-CM2","ssp126",1988,"land_tas",0.180180130718933
"ACCESS-CM2","ssp126",1988,"sst",0.193467929738562
"ACCESS-CM2","ssp126",1989,"global_tas",0.37245703704508
"ACCESS-CM2","ssp126",1989,"land_tas",0.387670130718921
"ACCESS-CM2","ssp126",1989,"sst",0.264897096405229
