"year","scenario","co2","gmst"
1850,"historical",2.66950256585423,-0.0643437369017602
1851,"historical",5.35717458023668,-0.051924328159295
1852,"historical",8.07141378045956,-0.0410092190512158
1853,"historical",10.8130832717812,-0.0456606521473955
1854,"historical",13.6041817791457,-0.052674356122953
1855,"historical",16.4099454758668,-0.04479615342403
1856,"historical",19.2474191563237,-0.0356987769957969
1857,"historical",22.1088440836718,-0.0426379101452514
1858,"historical",24.9927501964785,-0.0370260007551419
1859,"historical",27.9049217222448,-0.0246865772045349
1860,"historical",30.7696478522383,-0.0124739526167146
1861,"historical",33.6214966084408,-0.00736050106484424
1862,"historical",36.4655327570208,-0.0667259309169151
1863,"historical",39.3251709879134,-0.0838491536775901
1864,"historical",42.2070468729119,-0.0656656703270148
1865,"historical",45.1136105576025,-0.0418788853319327
1866,"historical",48.0229579163205,-0.0207889228452589
1867,"historical",50.9578238823511,-0.00443182361156914
1868,"historical",53.9009016689757,0.00799303069894949
1869,"historical",56.874011112169,0.0187345751416701
1870,"historical",60.0611227579112,0.0274040485986173
1871,"historical",63.3824500254103,0.035646079701909
1872,"historical",66.8299719046649,0.043198662691822
1873,"historical",70.3797272523048,0.0313979538206826
1874,"historical",73.9379144509481,0.0318717131884249
1875,"historical",77.598562180273,0.0368660103159602
1876,"historical",81.3118644789432,0.0420286222542242
1877,"historical",85.0755021147957,0.0500438654371414
1878,"historical",88.8776718637677,0.0583712131881235
1879,"historical",92.7549945759907,0.0651380063069084
1880,"historical",96.7429409467568,0.0675414612936004
1881,"historical",100.80690078529,0.0696479737503875
1882,"historical",104.953804510951,0.0755490510936987
1883,"historical",109.197425948991,0.0374941470664373
1884,"historical",113.484420712943,-0.122730152860032
1885,"historical",117.80868371557,-0.151737396654725
1886,"historical",122.167077680191,-0.112626652279325
1887,"historical",126.596184857994,-0.0777207222594287
1888,"historical",131.16168034024,-0.0418521009522837
1889,"historical",135.751798789722,-0.0101475841963355
1890,"historical",140.568594304381,0.00270811632415448
1891,"historical",145.546176042902,-0.0026280641576184
1892,"historical",150.596627517148,0.00900008756197445
1893,"historical",155.677313980803,0.0297493209780916
1894,"historical",160.852884571491,0.0460636056978059
1895,"historical",166.156773281308,0.0589033771745639
1896,"historical",171.546741357766,0.0696717476021836
1897,"historical",177.051073250056,0.078139535238283
1898,"historical",182.670052912995,0.0852636854410184
1899,"historical",188.468842596033,0.0901629879453267
1900,"historical",194.481212886423,0.094486346147003
1901,"historical",200.649921128389,0.0989732459210219
1902,"historical",206.917702592175,0.0945289115295813
1903,"historical",213.426435026944,0.021895568295887
1904,"historical",220.006042238372,-9.4731322427509e-05
1905,"historical",226.776571710856,0.0178056003438324
1906,"historical",233.706375685239,0.0411092530031327
1907,"historical",240.994577914199,0.0460720709866991
1908,"historical",248.204218949164,0.0551882499990553
1909,"historical",255.559917547181,0.06857640228669
1910,"historical",263.030874466495,0.0781963964761593
1911,"historical",270.533887263884,0.0868620181470256
1912,"historical",278.163658450817,0.0560543493208446
1913,"historical",286.050513202123,0.023564406735258
1914,"historical",293.566168500765,0.0306089074390337
1915,"historical",301.025302936563,0.05286100235342
1916,"historical",308.707772022118,0.0705163992957576
1917,"historical",316.538398731354,0.0825898721681561
1918,"historical",324.30793350182,0.0923236236470961
1919,"historical",331.62551356216,0.104756696915109
1920,"historical",339.583341915541,0.112975776062466
1921,"historical",347.223000974935,0.124919885140027
1922,"historical",355.077145101262,0.125993729576207
1923,"historical",363.405070130721,0.124948802272141
1924,"historical",371.783888240328,0.132304957937495
1925,"historical",380.218703375834,0.139572145849499
1926,"historical",388.604381696382,0.145979005805717
1927,"historical",397.342907834118,0.149877697916868
1928,"historical",406.073054425566,0.151762176932159
1929,"historical",415.090770039637,0.138587481154946
1930,"historical",423.9760168785,0.144967458485152
1931,"historical",432.593227563273,0.15832122355906
1932,"historical",440.933860505294,0.160004421138725
1933,"historical",449.528682710417,0.169176246387875
1934,"historical",458.485616420226,0.177986032564477
1935,"historical",467.668288028713,0.183690167038475
1936,"historical",477.290114991577,0.1862952977939
1937,"historical",487.239588608375,0.18739808542295
1938,"historical",496.967005131774,0.192609889376189
1939,"historical",506.952036890547,0.195271465908615
1940,"historical",517.441751934651,0.195738024424455
1941,"historical",528.096613002881,0.196193640380034
1942,"historical",538.723332542804,0.196423228684174
1943,"historical",549.409560368763,0.19785102399779
1944,"historical",560.15753941684,0.201148873046025
1945,"historical",570.005582163039,0.21012652320394
1946,"historical",580.210838964401,0.219493279532779
1947,"historical",590.899383727045,0.223856492544798
1948,"historical",601.797449927542,0.226372142317934
1949,"historical",612.467258152873,0.23036465606665
1950,"historical",624.105438678557,0.230131994508168
1951,"historical",636.38960436911,0.231437534375208
1952,"historical",648.843745045909,0.233137127890277
1953,"historical",661.566287768157,0.234764077289898
1954,"historical",674.523258158256,0.237709350715651
1955,"historical",688.208420364834,0.238219520244864
1956,"historical",702.469362415884,0.236104210707459
1957,"historical",717.061981811801,0.233256747134509
1958,"historical",731.968167948283,0.234559524755262
1959,"historical",747.427316283043,0.235736852875262
1960,"historical",762.843378763942,0.237007355196629
1961,"historical",778.036653558499,0.230503232519181
1962,"historical",793.425166445295,0.213695463591968
1963,"historical",809.199576632403,0.135558622798452
1964,"historical",825.34487449946,0.0821893634067314
1965,"historical",841.826206886354,0.0734454441760693
1966,"historical",858.720344490943,0.105074934541281
1967,"historical",875.92416463683,0.115882513052224
1968,"historical",893.767240280168,0.128129856045139
1969,"historical",912.489194895831,0.14582363380123
1970,"historical",932.294498290095,0.158398006944857
1971,"historical",952.614638866472,0.161083468103941
1972,"historical",973.544613198125,0.16910806401168
1973,"historical",995.300850316338,0.187571081821004
1974,"historical",1016.87655398325,0.202710929949891
1975,"historical",1038.37001064963,0.193027353852086
1976,"historical",1060.69469744455,0.204564783156312
1977,"historical",1083.45372164355,0.22676365934208
1978,"historical",1106.78161576452,0.249696399410614
1979,"historical",1130.5060733349,0.269398622947451
1980,"historical",1154.26034740401,0.28485359793721
1981,"historical",1177.54289003995,0.300361721352799
1982,"historical",1200.6909607502,0.294834758095682
1983,"historical",1224.12799362178,0.252911043677106
1984,"historical",1248.23888100726,0.260208820541496
1985,"historical",1273.10040835865,0.292642501174054
1986,"historical",1298.33456925604,0.323191282708281
1987,"historical",1324.30909316211,0.35271021152313
1988,"historical",1351.19413093703,0.383935436268311
1989,"historical",1378.48521743608,0.415811108550807
1990,"historical",1406.16292417872,0.443875310062503
1991,"historical",1434.27104536322,0.416293208358678
1992,"historical",1461.66140108218,0.296306832427556
1993,"historical",1489.29567086879,0.2780871209859
1994,"historical",1517.0679133748,0.337872138962733
1995,"historical",1545.29225498372,0.408957223278451
1996,"historical",1574.172623306,0.471575305877453
1997,"historical",1604.91518713612,0.513896411304245
1998,"historical",1633.59489981508,0.551459656709861
1999,"historical",1662.53392521601,0.595536280789335
2000,"historical",1692.70383337943,0.636482586238543
2001,"historical",1722.92199957875,0.671600236456592
2002,"historical",1754.33306552829,0.697417652090501
2003,"historical",1787.17344340474,0.718128417039312
2004,"historical",1821.18857777517,0.741005928776698
2005,"historical",1855.79318348563,0.760415334754288
2006,"historical",1891.64775918183,0.776504370751097
2007,"historical",1927.74798379195,0.797726334008535
2008,"historical",1964.667644119,0.824339646879055
2009,"historical",2001.99554983713,0.851172445175
2010,"historical",2040.46631130416,0.879053861704582
2011,"historical",2079.73856828862,0.905654834815825
2012,"historical",2119.942399237,0.931876567703573
2013,"historical",2160.54824780933,0.963072575620638
2014,"historical",2201.83429686005,0.989263510274188
2015,"historical",2243.29214787436,1.02483128485141
2016,"historical",2284.21245015093,1.06070129938895
2017,"historical",2325.48048303859,1.09554563719558
2018,"historical",2367.59316880777,1.1297781219163
2019,"historical",2410.63879037608,1.16365003856254
2015,"ssp119",2243.29214787436,1.02483128485141
2016,"ssp119",2282.61257667526,1.06070129938895
2017,"ssp119",2322.04136949095,1.09531870907678
2018,"ssp119",2361.57852632145,1.12909961902823
2019,"ssp119",2401.22404716676,1.16224712107832
2020,"ssp119",2440.97793202686,1.19491088186049
2021,"ssp119",2479.04461814429,1.22629708845964
2022,"ssp119",2515.42410551906,1.25625828004191
2023,"ssp119",2550.11639415115,1.28477925177728
2024,"ssp119",2583.12148404058,1.31185313872473
2025,"ssp119",2614.43937518734,1.33868418807227
2026,"ssp119",2644.07006759143,1.36508651185201
2027,"ssp119",2672.01356125285,1.39079224995652
2028,"ssp119",2698.26985617161,1.41564561142034
2029,"ssp119",2722.83895234769,1.43955265609176
2030,"ssp119",2745.72084978111,1.46245678130741
2031,"ssp119",2767.36365392055,1.4820458982627
2032,"ssp119",2787.76736476601,1.49881994281676
2033,"ssp119",2806.9319823175,1.51341820393452
2034,"ssp119",2824.857506575,1.52624332476187
2035,"ssp119",2841.54393753853,1.53756557382956
2036,"ssp119",2856.99127520808,1.54757389211036
2037,"ssp119",2871.19951958366,1.5564052629623
2038,"ssp119",2884.16867066525,1.56416487642123
2039,"ssp119",2895.89872845287,1.57093377943387
2040,"ssp119",2906.38969294651,1.57677449249135
2041,"ssp119",2916.03690789211,1.58153099964991
2042,"ssp119",2924.84037328967,1.58533521776335
2043,"ssp119",2932.80008913919,1.58832207788233
2044,"ssp119",2939.91605544068,1.59058424799217
2045,"ssp119",2946.18827219412,1.59218812737374
2046,"ssp119",2951.61673939952,1.59318281876265
2047,"ssp119",2956.35715959723,1.59360545123768
2048,"ssp119",2960.47403710631,1.59348445881504
2049,"ssp119",2963.96737192675,1.59284185672292
2050,"ssp119",2966.83716405856,1.59169463106955
2015,"ssp126",2243.29214787436,1.02483128485141
2016,"ssp126",2282.63466750091,1.06052580111752
2017,"ssp126",2322.10764196792,1.09478553615527
2018,"ssp126",2361.71107127539,1.12804122265558
2019,"ssp126",2401.44495542331,1.16050496834747
2020,"ssp126",2441.30929441168,1.1923332718536
2021,"ssp126",2480.66590609305,1.22238180316017
2022,"ssp126",2519.51479046742,1.2508343408518
2023,"ssp126",2557.85594753477,1.27796538807514
2024,"ssp126",2595.68937729512,1.30394900983968
2025,"ssp126",2633.01507974847,1.33010787410653
2026,"ssp126",2669.8330548948,1.35633544808294
2027,"ssp126",2706.14330273413,1.38241738201295
2028,"ssp126",2741.94582326645,1.40823361011204
2029,"ssp126",2777.24061649176,1.43371333245931
